事業單位/事業主,違反法令條款,處分書文號,處分日期
行動鳥通訊科技有限公司,勞動基準法第30條第1項,府勞動字第10037067800號,100年10月12日
食祿軒餐飲管理顧問股份有限公司,勞動基準法第30條第5項,府勞動字第10040195400號,100年10月18日
樂蘭股份有限公司,勞動基準法第9條第1項,府勞動字第10040171000號,100年10月19日
全一運通股份有限公司,勞動基準法第24條、第32條第2項,府勞動字第10040188400號,100年10月19日
拿帕里股份有限公司,勞動基準法第38條,府勞動字第10037904500號,100年10月21日
壹多媒體娛樂服務股份有限公司,勞動基準法第30條第5項,府勞動字第10040188900號,100年10月24日
森園家具有限公司,勞動基準法第7條第1項、第22條第2項、第30條第1項,府勞動字第10040146200號,100年10月24日
晟昕實業股份有限公司,勞動基準法第23條第1項,府勞動字第10037060700號,100年10月25日
國光汽車客運股份有限公司,勞動基準法第32條第2項,府勞動字第10040251800號,100年10月27日
傅睦恩君(即宮宅家飾店),勞動基準法第21條第1項及第30條第1項,府勞動字第10040279600號,100年10月28日
