事業單位/事業主,違反法令條款,處分書文號,處分日期
特力屋股份有限公司,勞動基準法第38條,府勞動字第10139089800號,101年11月02日
天母洋蔥股份有限公司,勞動基準法第36條,府勞動字第10138145600號,101年11月05日
六福開發股份有限公司,勞動基準法第24條,府勞動字第10138178700號,101年11月07日
遠百企業股份有限公司,勞動基準法第38條,府勞動字第10139402100號,101年11月08日
國聯保全股份有限公司,勞動基準法第32條第2項,府勞動字第10138182800號,101年11月08日
墾丁企業有限公司,勞動基準法第7條第1項、第30條第5項,府勞動字第10138242600號,101年11月16日
誠世企業有限公司,勞動基準法第24條、第30條第5項、第32條第1項、第32條第2項、第35條、第38條	,府勞動字第10139081000號,101年11月16日
宮之天國際股份有限公司,勞動基準法第23條第2項、第30條第5項、第46條,府勞動字第10139080900號,101年11月19日
迎家國際旅行社有限公司,勞動基準法第38條,府勞動字第10139384300號,101年11月19日
彩廣人資行銷有限公司,勞動基準法第22條第2項,府勞動字第10139045300號,101年11月26日
鴻明人力資源顧問有限公司,勞動基準法第30條第5項,府勞動字第10139799600號,101年12月04日
楊志賢(即長虹診所),勞動基準法第24條、第36條,府勞動字第10140533400號,101年12月10日
可米購有限公司,勞動基準法第38條,府勞動字第10140325200號,101年12月11日
意誠清潔有限公司,勞動基準法第24條、第30條第1項、第36條、第39條,府勞動字第10139999000號,101年12月12日
康晟人力派遣股份有限公司,勞動基準法第30條第5項,府勞動字第10140543900號,101年12月19日
美邦國際實業有限公司,勞動基準法第30條第5項,府勞動字第10140855800號,101年12月22日
宣威仕國際有限公司,勞動基準法第22條第2項、第23條第1項,府勞動字第10139369800號,101年12月22日
馹昇企業有限公司,勞動基準法第16條第3項、第22條第2項、第30條第5項,府勞動字第10140588100號,101年12月24日
融樂國際有限公司,勞動基準法第21條第1項、第24條、第38條,府勞動字第10140858400號,101年12月25日
陞洋水產有限公司,勞動基準法第22條第2項、第30條第1項、第36條、第37條,府勞動字第10141228900號,101年12月25日
萬成航空科技股份有限公司,勞動基準法第30條第1項、第36條、第39條,府勞動字第10140858500號,101年12月27日
