事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期
三越企業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,府勞動字第10137544200號,101年9月17日
香港商歷峰亞太有限公司,勞動基準法第24條、勞動基準法第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,府勞動字第10230217500號,102年3月1日
鑀德恩企業股份有限公司,勞動基準法第32條第2項、勞動基準法第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第10231086100號,102年3月1日
伯朗咖啡股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,府勞動字第10231012100號,102年3月13日
潤營企業股份有限公司,勞動基準法第38條,未依規定給予特別休假,府勞動字第 10231600300號,102年3月15日
驚爆點跨媒體股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府勞動字第 10230868300號,102年3月15日
台象股份有限公司,勞動基準法第24條、勞動基準法第36條,1.延長工作時間未依規定加給工資 2.每七日中未有一日之休息作為例假,府勞動字第10231706000號,102年3月19日
台業保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞動字第10230219100號,102年3月20日
誼光保全股份有限公司,勞動基準法第32條第2項、勞動基準法第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第10231056200號,102年3月21日
濤永有限公司,勞動基準法第22條第2項、勞動基準法第30條第5項,1.工資未全額直接給付勞工 2.未依規定置備勞工出勤紀錄表,府勞動字第 10231030600號,102年3月26日
三重汽車客運股份有限公司,勞動基準法第32條第2項、勞動基準法第35條、勞動基準法第36條,1.延長工作時間超過法令規定 2.未依規定使勞工繼續工作4小時，至少應有30分鐘之休息 3.每七日中未有一日之休息作為例假,府勞動字第10231720700號,102年3月26日
指南汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞動字第 10230223800號,102年3月27日
彰化商業銀行股份有限公司,勞動基準法第32條第2項、勞動基準法第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第10231318000號,102年4月1日
誼光保全股份有限公司,勞動基準法第22條第2項、勞動基準法第24條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資,府勞動字第 10231038500號,102年4月3日
渣打國際商業銀行股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞動字第10231662000號,102年4月3日
中興大業巴士股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞動字第 10231653700號,102年4月3日
國泰綜合證券股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字第 10231038600號,102年4月9日
長榮警備保全股份有限公司,勞動基準法第30條第1項、勞動基準法第32條第2項,1.正常工作時間超過法令規定 2.延長工作時間超過法令規定,府勞動字第10231329900號,102年4月9日
黃金城(即金城企業社),勞動基準法第24條、勞動基準法第30條第1項、勞動基準法第32條第1項、勞動基準法第37條,1.延長工作時間未依規定加給工資 2.正常工作時間超過法令規定 3.延長工作時間不符法定要件 4.依規定應放假之日未予休假,府勞動字第 10231003100號,102年4月9日
聖東營造股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府勞動字第10231704400號,102年4月12日
世界書局股份有限公司,勞動基準法第24條、勞動基準法第30條第5項、勞動基準法第39條,1.延長工作時間未依規定加給工資 2.未依規定置備勞工出勤紀錄表 3.假日工資未給或於休假日工作未依規定加給工資,府勞動字第10231371500號,102年4月19日
利口樂通路有限公司,勞動基準法第23條第1項、勞動基準法第28條第2項、勞動基準法第30條第1項、勞動基準法第30條第5項、勞動基準法第32條第1項、勞動基準法第39條,1.工資未定期給付勞工 2.未按月提繳積欠工資墊償基金 3.正常工作時間超過法令規定 4.未依規定置備勞工出勤紀錄表 5.延長工作時間不符法定要件 6.假日工資未給或於休假日工作未依規定加給工資,府勞動字第10231310800號,102年4月19日
財團法人天主教會臺北教區附設臺北市私立成德幼兒園,勞動基準法第24條,延長工作時間未依規定加給工資,府勞動字第10232132500號,102年4月23日
天下保全股份有限公司,勞動基準法第22條第2項、勞動基準法第32條第2項、勞動基準法第36條,1.工資未全額直接給付勞工 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,府勞動字第10230988300號,102年4月24日
卡比貿易有限公司,勞動基準法第9條第1項、勞動基準法第22條第2項、勞動基準法第24條,1.違反規定訂定定期契約 2.工資未全額直接給付勞工 3.延長工作時間未依規定加給工資,府勞動字第10232090600號,102年4月25日
新光人壽保險股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府勞動字第 10231319900號,102年4月25日
齊家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞動字第10231479200號,102年4月26日
