項次,事業單位名稱,違反勞動基準法條款,違反法規內容,發文字號,處分日期,
1,特力屋股份有限公司,●勞動基準法第38條,●未依規定給予特別休假。,府勞動字第10139089800號,101年11月2日
2,媚登峰健康事業股份有限公司,●勞動基準法第24條●勞動基準法第39條,●延長工作時間未依規定加給工資。●假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10232533600號,102年5月3日
3,新光人壽保險股份有限公司,●勞動基準法第24條●勞動基準法第39條,●延長工作時間未依規定加給工資。●假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10232015800號,102年5月6日
4,天頂餐廳股份有限公司,●勞動基準法第24條●勞動基準法第32條第1項●勞動基準法第37條,●延長工作時間未依規定加給工資。●延長工作時間不符法定要件。●依規定應放假之日未予休假。,府勞動字第10231509200號,102年5月9日
5,萊爾富國際股份有限公司,●勞動基準法第36條●勞動基準法第39條,●每七日中未有一日之休息作為例假。●假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10231356500號,102年5月10日
6,強訊郵通股份有限公司,●勞動基準法第22條第2項,●工資未全額直接給付勞工。,府勞動字第10231356700號,102年5月16日
7,中華網龍股份有限公司,●勞動基準法第24條,●延長工作時間未依規定加給工資。,府勞動字第10232690000號,102年5月17日
8,俞安恬（即安侯建業聯合會計師事務所）,●勞動基準法第32條第2項●勞動基準法第36條,●延長工作時間超過法令規定。●每七日中未有一日之休息作為例假。,府勞動字第10231485600號,102年5月20日
9,長江保全股份有限公司,●勞動基準法第30條第1項●勞動基準法第32條第2項,●正常工作時間超過法令規定。●延長工作時間超過法令規定。,府勞動字第10232641700號,102年5月21日
10,國立臺灣大學醫學院附設醫院北護分院,●勞動基準法第32條第2項,●延長工作時間超過法令規定。,府勞動字第10201275600號,102年5月24日
11,西歐加油站股份有限公司,●勞動基準法第22條第2項,●工資未全額直接給付勞工。,府勞動字第10232742100號,102年5月24日
12,香港商希思黎化妝品有限公司台灣分公司,●勞動基準法第24條●勞動基準法第36條●勞動基準法第37條,●延長工作時間未依規定加給工資。●每七日中未有一日之休息作為例假。●依規定應放假之日未予休假。,府勞動字第10231350100號,102年5月27日
13,品粵食品有限公司,●勞動基準法第23條第2項●勞動基準法第24條●勞動基準法第30條第5項●勞動基準法第32條第2項●勞動基準法第39條,●未依規定置備勞工工資清冊。●延長工作時間未依規定加給工資。●未依規定置備勞工出勤紀錄表。●延長工作時間超過法令規定。●假日工資未給或於休假日工作未依規定加給工資。,府勞動字第10232562000號,102年5月28日
14,傲旎全球股份有限公司,●勞動基準法第22條第2項●勞動基準法第24條●勞動基準法第32條第1項●勞動基準法第49條,●工資未全額直接給付勞工。●延長工作時間未依規定加給工資。●延長工作時間不符法定要件。●未經勞資會議同意使女性勞工於午後10時至翌晨6時之時間內工作。,府勞動字第10233036400號,102年5月29日
15,國健生物科技產業股份有限公司,●勞動基準法第27條,●限期令其改善仍未改善。,府勞動字第10231349000號,102年5月30日
16,財團法人商業發展研究院,●勞動基準法第32條第2項●勞動基準法第36條,●延長工作時間超過法令規定。●每七日中未有一日之休息作為例假。,府勞動字第10201549200號,102年5月30日
17,萊爾富國際股份有限公司,●勞動基準法第22條第2項,●工資未全額直接給付勞工。,府勞動字第10231014200號,102年5月31日
18,匯豐(台灣)商業銀行股份有限公司,●勞動基準法第30條第5項,●未依規定置備勞工出勤紀錄表。,府勞動字第10201578100號,102年5月31日
