公告日期,處分日期,處分字號,事業單位名稱/自然人姓名,事業單位代表人,違反勞動基準法條款,違反法規內容,備註
105/10/31,104/10/01,府勞動字第10435852000號,太友實業股份有限公司,廖居政,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/01,北市勞動字第10536531200號,德安國際公寓大廈管理維護股份有限公司,蘇旺泉,勞動基準法第24條;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第37條,延長工作時間未依規定加給工資;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;依規定應放假之日未予休假,
105/10/31,105/08/01,北市勞動字第10535352000號,精英保全股份有限公司,張文��,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/10/31,105/08/01,北市勞動字第10530578700號,富裔實業股份有限公司,祝文定,勞動基準法第30條第1項,正常工時超過法令規定,
105/10/31,105/08/01,北市勞動字第10536715300號,楊貢祖（即臺北市私立祥家老人養護所）,,勞動基準法第30條第1項,正常工時超過法令規定,
105/10/31,105/08/01,北市勞動字第10535367800號,歐艾斯公寓大廈管理維護股份有限公司,蔡培,勞動基準法第38條,未依規定給予特別休假,
105/10/31,105/08/01,北市勞動字第10537956400號,侯登見（即臺北市私立科劍語文文理短期補習班）,,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄,
105/10/31,105/08/02,北市勞動字第10530565300號,東森新聞雲股份有限公司,李傳偉,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/10/31,105/08/02,北市勞動字第10530595700號,安聯人壽保險股份有限公司,薛傅睿,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/10/31,105/08/02,北市勞動字第10530554800號,北大東華興業股份有限公司,黃慧娟,勞動基準法第22條第2項;勞動基準法第30條第1項;勞動基準法第36條;勞動基準法第37條,工資未全額給付給勞工;正常工時超過法令規定;每七日中未有一日之休息作為例假;依規定應放假之日未予休假,
105/10/31,105/08/02,北市勞動字第10530585900號,天星餐廳有限公司,李?義,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/10/31,105/08/02,北市勞動字第10536633600號,連嘉榆（即華連清潔企業社）,,勞動基準法第23條第2項;勞動基準法第30條第1項,未按規定置備勞工工資清冊;正常工時超過法令規定,
105/10/31,105/08/02,北市勞動字第10530547300號,悅電通信工程有限公司,高梅南,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/10/31,105/08/02,北市勞動字第10535636400號,佳沅工程有限公司,李?鋆,勞動基準法第27條,不依主管機關限期給付令之期限給付工資,
105/10/31,105/08/03,北市勞動字第10535367100號,立新資產管理股份有限公司,楊子汀,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/03,北市勞動字第10535375300號,東京不動產投資顧問有限公司,廖惠萍,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/03,北市勞動字第10530568600號,雄鷹有限公司,林群雄,勞動基準法第24條;勞動基準法第30條第6項,延長工作時間未依規定加給工資;出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/10/31,105/08/04,北市勞動字第10530554100號,怡盛保全股份有限公司,莊子慧,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/04,北市勞動字第10530562400號,台業保全股份有限公司,莊碩鴻,勞動基準法第32條第2項,延長工作時間超過法令規定,
105/10/31,105/08/04,北市勞動字第10530583300號,遠碩營造股份有限公司,黃定祥,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/04,北市勞動字第10530585400號,潮坊股份有限公司,林輝義,勞動基準法第30條第1項;勞動基準法第32條第1項;勞動基準法第32條第2項;勞動基準法第36條;勞動基準法第49條第1項,正常工時超過法令規定;延長勞工工作時間未經工會或勞資會議同意;延長工作時間超過法令規定;每七日中未有一日之休息作為例假;未經工會或勞資會議同意使女性於午後10時至翌晨6時時間內工作,
105/10/31,105/08/04,北市勞動字第10530560600號,富璟餐飲有限公司,林永芳,勞動基準法第36條,每七日中未有一日之休息作為例假,
105/10/31,105/08/04,北市勞動字第10535351500號,黃林韻秋（即忠南小吃店）,,勞動基準法第23條第2項;勞動基準法第30條第5項;勞動基準法第36條,未按規定置備勞工工資清冊;未依規定置備勞工出勤紀錄;每七日中未有一日之休息作為例假,
105/10/31,105/08/05,北市勞動字第10535376800號,裕利股份有限公司,許待明,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/10/31,105/08/05,北市勞動字第10535351700號,本益營造有限公司,林耀宗,勞動基準法第24條,延長工作時間未依規定加給工資,
105/10/31,105/08/05,北市勞動字第10535376200號,力泰建設企業股份有限公司,吳良材,勞動基準法第30條第6項,出勤紀錄未逐日記載勞工出勤情形至分鐘為止,
105/10/31,105/08/05,北市勞動字第10530585500號,張孟雯（即臺北市私立放學窩文理美術短期補習班）,,勞動基準法第35條,勞工繼續工作四小時未給予至少三十分鐘之休息,
105/10/31,105/08/05,北市勞動字第10530595600號,新彩廣告事業有限公司,洪明男,勞動基準法第36條,每七日中未有一日之休息作為例假,
