事業單位名稱,違反法令條款,處分書文號,處分日期
冠訊科技股份有限公司,勞基法第38條,1011694922,101年5月10日
劍橋診所,勞基法第30條第5項,1011744570,101年5月14日
誠泰醫院,勞基法第32條第2項,1011771137,101年5月22日
誠泰醫院,勞基法第39條,10117711371,101年5月22日
三重中興醫院,勞基法第39條,1011753533,101年5月17日
永和復康醫院,勞基法第30條第5項,1011753531,101年5月14日
新泰綜合醫院,勞基法第32條第2項,1011821237,101年5月24日
新北市私立愛心老人養護中心,勞基法第30條第5項,1011771140,101年5月22日
新北市私立春霖老人養護中心,勞基法第24條,1011865641,2012年6月1日
新北市私立東儀老人養護中心,勞基法第30條第5項,1011727260,101年5月11日
新北市私立祥安居老人長期照顧中心（養護型）,勞基法第32條第2項,1011788032,101年5月22日
新北市私立崇惠老人長期照顧中心（養護型）,勞基法第30條第5項,1011896602,101年6月5日
新北市私立崇惠老人長期照顧中心（養護型）,勞基法第32條第2項,10118966021,101年6月5日
新北市私立愛鄰田園老人長期照顧中心（養護型）,勞基法第32條第2項,1001859100,101年5月30日
新北市私立惠澤老人養護中心,勞基法第32條第2項,1011893955,101年6月5日
金美美容院,勞基法第37條,1011699651,101年5月2日
璽圓國際企業有限公司,勞基法第36條,1011708832,101年5月7日
金湧泉旅館股份有限公司,勞基法第36條,1011865643,101年6月1日
宜容髮廊,勞基法第30條第1項,1011899118,101年6月6日
宜容髮廊,勞基法第68條,10118991181,101年6月6日
金沙造型髮藝,勞基法第30條第5項,1011932127,101年6月11日
金沙造型髮藝,勞基法第36條,10119321271,101年6月11日
典華婚訂花園股份有限公司,勞基法第30條第1項,1011850708,101年5月31日
哲林語文短期補習班(吉的堡美語中和積穗分校),勞基法第30條第5項,1012011821,101年6月26日
私立上揚美與短期補習班(喬登美語埔墘分校),勞基法第30條第5項,1011983752,101年6月21日
聯城電腦有限公司,勞基法第30條第5項,1011974470,101年6月25日
好學生文理補習班(芝蔴街美語新莊中正分校),勞基法第30條第5項,1012034909,101年6月29日
