公司名稱,違法條款,處分書日期文號,日期,備註
宏達國際電子股份有限公司,勞動基準法第30條第5項,北府勞條字第1012077857號函,101.07.06,(第4次違規)
福商勝蛋品有限公司,勞動基準法第7條,北府勞條字第1012101127號函,101.07.09,
福商勝蛋品有限公司,勞動基準法第23條第2項,北府勞條字第10121011271號函,101.07.09,
福商勝蛋品有限公司,勞動基準法第30條第5項,北府勞條字第10121011272號函,101.07.09,
福商勝蛋品有限公司,勞動基準法第37條,北府勞條字第10121011273號函,101.07.09,
寶佳物業公寓大廈管理維護股份有限公司,勞動基準法第24條,北府勞條字第1012064090號函,101.07.09,
寶佳物業公寓大廈管理維護股份有限公司,勞動基準法第32條第2項,北府勞條字第10120640901號函,101.07.09,
寶佳物業公寓大廈管理維護股份有限公司,勞動基準法第39條,北府勞條字第10120640902號函,101.07.09,
永豐商業銀行股份有限公司,勞動基準法第30條第5項,北府勞條字1012112117號函,101.07.12,(第3次違規)
怡盛保全股份有限公司,勞動基準法第24條,北府勞條字第1012157407號函,101.07.18,
怡盛保全股份有限公司,勞動基準法第32條第2項,北府勞條字第10121574071號函,101.07.18,
怡盛保全股份有限公司,勞動基準法第36條,北府勞條字第10121574072號函,101.07.18,
怡盛保全股份有限公司,勞動基準法第39條,北府勞條字第10121574073號函,101.07.18,
吳美玉(即玉皇手作茶飲店),勞動基準法第24條,北府勞條字第1012173303號函,101.07.24,
吳美玉(即玉皇手作茶飲店),勞動基準法第32條第2項,北府勞條字第10121733031號函,101.07.24,
吳美玉(即玉皇手作茶飲店),勞動基準法第36條,北府勞條字第10121733032號函,101.07.24,
三盈保全股份有限公司,勞動基準法第24條,北府勞條字第1012159322號函,101.07.25,
三盈保全股份有限公司,勞動基準法第30條第5項,北府勞條字第10121593221號函,101.07.25,
三盈保全股份有限公司,勞動基準法第32條第1項,北府勞條字第10121593222號函,101.07.25,
三盈保全股份有限公司,勞動基準法第32條第2項,北府勞條字第10121593223號函,101.07.25,
萬安保全股份有限公司,勞動基準法第24條,北府勞條字第1012182290號函,101.07.26,
萬安保全股份有限公司,勞動基準法第32條第2項,北府勞條字第10121822901號函,101.07.26,
萬安保全股份有限公司,勞動基準法第38條,北府勞條字第10121822902號函,101.07.26,
茂昌印刷科技股份有限公司,勞動基準法第24條,北府勞條字第1012165359號函,101.07.27,(第2次違規)
茂昌印刷科技股份有限公司,勞動基準法第32條第2條,北府勞條字第10121653591號函,101.07.27,(第2次違規)
陳永福(即全能體育用品社),勞動基準法第21條第1條,北府勞條字第1012190612號函,101.07.27,
陳永福(即全能體育用品社),勞動基準法第24條,北府勞條字第10121906121號函,101.07.27,
陳永福(即全能體育用品社),勞動基準法第39條,北府勞條字第10121906122號函,101.07.27,
聖傑自動科技股份有限公司,勞動基準法第22條第2項,北府勞條字第1012190609號函,101.07.27,
聖傑自動科技股份有限公司,勞動基準法第24條,北府勞條字第10121906091號函,101.07.27,
聖傑自動科技股份有限公司,勞動基準法第38條,北府勞條字第10121906092號函,101.07.27,
三商行股份有限公司,勞動基準法第36條,北府勞條字第1012227978號函,101.07.30,
三商行股份有限公司,勞動基準法第39條,北府勞條字第1012229507號函,101.07.30,
三商行股份有限公司,勞動基準法第24條,北府勞條字第1012391039號函,101.08.23,
三商行股份有限公司,勞動基準法第39條,北府勞條字第10123910391號函,101.08.23,
熊明旺(即熊明旺耳鼻喉科診所),勞動基準法第22條第2項,北府勞條字第1012202311號函,101.08.01,
熊明旺(即熊明旺耳鼻喉科診所),勞動基準法第24條,北府勞條字第10122023111號函,101.08.01,
熊明旺(即熊明旺耳鼻喉科診所),勞動基準法第36條,北府勞條字第10122023112號函,101.08.01,
大有巴士股份有限公司,勞動基準法第32條第2項,北府勞條字第10122184172號函,101.08.03,(第3次違規)
大有巴士股份有限公司,勞動基準法第24條,北府勞條字第1012218417號函,101.08.03,
大有巴士股份有限公司,勞動基準法第32條第1項,北府勞條字第10122184171號函,101.08.03,
台灣麥當勞餐廳股份有限公司,勞動基準法第24條,北府勞條字第1012235814號函,101.08.03,(第2次違規)
立威煤氣有限公司,勞動基準法第23條第2項,北府勞條字第1012242509號函,101.08.03,
立威煤氣有限公司,勞動基準法第36條,北府勞條字第10122425091號函,101.08.03,
立威煤氣有限公司,勞動基準法第30條第5項,北府勞條字第1012238831號函,101.08.07,
首都客運股份有限公司,勞動基準法第32條第2項,北府勞條字第1012271566號函,101.08.07,(第2次違規)
華世企業有限公司,勞動基準法第24條,北府勞條字第1012272619號函,101.08.07,
華世企業有限公司,勞動基準法第38條,北府勞條字第10122726191號函,101.08.07,
華世企業有限公司,勞動基準法第39條,北府勞條字第10122726192號函,101.08.07,
華薪科技玻璃有限公司,勞動基準法第22條第2項,北府勞條字第1012290691號函,101.08.08,
華薪科技玻璃有限公司,勞動基準法第24條,北府勞條字第10122906911號函,101.08.08,
華薪科技玻璃有限公司,勞動基準法第32條第2項,北府勞條字第10122906912號函,101.08.08,
國全興業有限公司,勞動基準法第22條第2項,北府勞條字第1012293625號函,101.08.13,
國全興業有限公司,勞動基準法第24條,北府勞條字第10122936251號函,101.08.13,
國全興業有限公司,勞動基準法第38條,北府勞條字第10122936252號函,101.08.13,
天下保全股份有限公司,勞動基準法第21條第1項,北府勞條字第1012283505號函,101.08.14,
天下保全股份有限公司,勞動基準法第22條第2項,北府勞條字第10122835051號函,101.08.14,
天下保全股份有限公司,勞動基準法第32條第2項,北府勞條字第10122835052號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第22條第2項,北府勞條字第1012283506號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第24條,北府勞條字第10122835061號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第32條第1項,北府勞條字第10122835062號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第32條第2項,北府勞條字第10122835063號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第36條,北府勞條字第10122835064號函,101.08.14,
美達流通科技股份有限公司,勞動基準法第39條,北府勞條字第10122835065號函,101.08.14,
惠康百貨股份有限公司,勞動基準法第24條,北府勞條字第1012307428號函,101.08.14,
惠康百貨股份有限公司,勞動基準法第32條第2項,北府勞條字第10123074281號函,101.08.14,
惠康百貨股份有限公司,勞動基準法第24條,北府勞條字第1012283507號函,101.08.14,
惠康百貨股份有限公司,勞動基準法第32條第2項,北府勞條字第10122835071號函,101.08.14,
新同樂生活有限公司,勞動基準法第21條第1項,北府勞條字第1012319981號函,101.08.14,
新同樂生活有限公司,勞動基準法第22條第2項,北府勞條字第10123199811號函,101.08.14,
新同樂生活有限公司,勞動基準法第24條,北府勞條字第10123199812號函,101.08.14,
笑笑笑國際股份有限公司,勞動基準法第24條,北府勞條字第1012368775號函,101.08.21,(第2次違規)
笑笑笑國際股份有限公司,勞動基準法第39條,北府勞條字第10123687751號函,101.08.21,(第2次違規)
笑笑笑國際股份有限公司,勞動基準法第32條第2項,北府勞條字第1012379299號函,101.08.22,(第2次違規)
友順科技股份有限公司,勞動基準法第24條,北府勞條字第1012362297號函,101.08.27,
友順科技股份有限公司,勞動基準法第32條第1項,北府勞條字第10123622971號函,101.08.27,
友順科技股份有限公司,勞動基準法第32條第2項,北府勞條字第10123622972號函,101.08.27,
國光汽車客運股份有限公司,勞動基準法第32條第2項,北府勞條字第1012421835號函,101.08.30,(第4次違規)
