事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
大無畏保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012468102號函,101.09.07
大無畏保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第10124681021號函,101.09.07
大無畏保全股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10124681022號函,101.09.07
宏達國際電子股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1012485450號函,101.09.10
國光汽車客運股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10124950621號函,101.09.12
英華保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012493998號函,101.09.14
英華保全股份有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,北府勞條字第10124939981號函,101.09.14
英華保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10124939982號函,101.09.14
國光保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012493996號函,101.09.14
國光保全股份有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,北府勞條字第10124939961號函,101.09.14
國光保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10124939962號函,101.09.14
僑福保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012493997號函,101.09.17
僑福保全股份有限公司,勞動基準法第32條第1項,延長工作時間不符法定要件。,北府勞條字第10124939971號函,101.09.17
僑福保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10124939972號函,101.09.17
立偉模具工業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1012513453號函,101.09.24
立偉模具工業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第10125134531號函,101.09.24
立偉模具工業有限公司,勞動基準法第43條,請假期間未依規定給付工資。,北府勞條字第10125134532號函,101.09.24
黛安芬國際股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012597555號函,101.09.27
黛安芬國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10125975551號函,101.09.27
郭懿德(即家堤牛排館),勞動基準法第21條第1項,未達基本工資。,北府勞條字第1012575622號函,101.09.28
郭懿德(即家堤牛排館),勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第10125756221號函,101.09.28
郭懿德(即家堤牛排館),勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10125756222號函,101.09.28
廣源保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012613901號函,101.10.01
廣源保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10126139011號函,101.10.01
廣源保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10126139012號函,101.10.01
國倫人力資源管理有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012622377號函,101.10.04
承洧有限公司,勞動基準法第80條,拒絕、規避或阻撓勞工檢查員依法執行職務。,北府勞條字第1012632133號函,101.10.04
齊裕營造股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012696402號函,101.10.12
齊裕營造股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10126964021號函,101.10.12
齊裕營造股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,北府勞條字第10126964022號函,101.10.12
新漢電腦股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1012679738號函,101.10.12
星彩傢飾有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1012678016號函,101.10.12
大成餐飲有限公司,勞動基準法第21條第1項,未達基本工資。,北府勞條字第1012689136號函,101.10.12
統聯汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間未依規定報主管機關備查，或事後補給勞工適當之休息。,北府勞條字第1012692944號函,101.10.12
大都會網路科技股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第1012698914號函,101.10.12
臺灣湯淺電池股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1012699846號函,101.10.15
勝力霸精密有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012700446號函,101.10.15
勝力霸精密有限公司,勞動基準法第38條,未依規定給予特別休假。,北府勞條字第10127004461號函,101.10.15
勝力霸精密有限公司,勞動基準法第43條,請假期間未依規定給付工資。,北府勞條字第10127004462號函,101.10.15
金玉盟股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1012698296號函,101.10.15
金玉盟股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10126982961號函,101.10.15
金玉盟股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10126982962號函,101.10.15
合京保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012715795號函,101.10.15
合京保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10127157951號函,101.10.15
合京保全股份有限公司,勞動基準法第49條第1項,使女工從事夜間工作不符法定要件。,北府勞條字第10127157952號函,101.10.15
指南汽車客運股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,北府勞條字第1012730005號函,101.10.18
美食達人股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1012735282號函,101.10.18
兆利科技工業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012735083號函,101.10.18
福和客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10127337401號函,101.10.23
江志明(即安沛企業社),勞動基準法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012738453號函,101.10.24
江志明(即安沛企業社),勞動基準法第32條第1項,延長工作時間不符法定要件。,北府勞條字第10127384531號函,101.10.24
