事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
吳美玉(即玉皇手作茶飲店),勞動基準法第24條、第32條第2項、第36條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,北府勞條字第1012173303號函、北府勞條字第10121733031號函、北府勞條字第10121733032號函,101年7月24日
熊明旺(即熊明旺耳鼻喉科診所),勞動基準法第22條第2項、第24條、第36條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資 3.每七日中未有一日之休息作為例假,北府勞條字第1012202311號函、北府勞條字第10122023111號函、北府勞條字第10122023112號函,101年8月1日
華冠通訊股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1012828304號函,101年11月2日
富甲工業股份有限公司,勞基法第22條第2項、第24條、第32條第2項、第36條,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資 3.延長工作時間超過法令規定 4.每七日中未有一日之休息作為例假,北府勞條字第1012834876號函、北府勞條字第10128348761號函、北府勞條字第10128348762號函、北府勞條字第10128348763號函,101年11月5日
邱碧娟(即祥福企業社),勞基法第24條、第30條第5項、第38條,1.延長工作時間未依規定加給工資 2.未依規定置備勞工出勤紀錄表 3.未依規定給予特別休假,北府勞條字第1012858343號函、北府勞條字第10128583431號函、北府勞條字第10128583432號函,101年11月6日
國光汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1012869687號函,101年11月8日
鑫田螺絲有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1012872296號函,101年11月9日
誠世企業有限公司,勞基法第24條、第32條第1項、第32條第2項、第35條,1.延長工作時間未依規定加給工資 2.延長工作時間不符法定要件 3.延長工作時間超過法令規定 4.繼續工作四小時未有三十分鐘休息,北府勞條字第1012861186號函、北府勞條字第10128611861號函、北府勞條字第10128611862號函、北府勞條字第10128611863號函,101年11月13日
元企國際股份有限公司,勞基法第24條、第32條第1項、第36條,1.延長工作時間未依規定加給工資 2.延長工作時間不符法定要件 3.每七日中未有一日之休息作為例假,北府勞條字第1012935840號函、北府勞條字第10129358401號函、北府勞條字第1013092495號函,101年11月21日、101年12月14日
千翔保全股份有限公司,勞基法第24條、第36條,1.延長工作時間未依規定加給工資 2.每七日中未有一日之休息作為例假,北府勞條字第1012960571號函、北府勞條字第10129605711號函,101年11月21日
博勝餐飲事業有限公司,勞基法第24條、第32條第1項、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間不符法定要件 3.延長工作時間超過法令規定 4.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1012928328號函、北府勞條字第10129283281號函、北府勞條字第10129283282號函、北府勞條字第10129283283號函,101年11月26日
聯米企業股份有限公司,勞基法第36條、第24條、第32條第2項,1.每七日中未有一日之休息作為例假 2.延長工作時間未依規定加給工資 3.延長工作時間超過法令規定,北府勞條字第1012972404號函、北府勞條字第1013178881號函、北府勞條字第10131788811號函,101年11月27日、101年12月26日
臺北汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1013020867號函,101年12月3日
梅宏偉(即金讚牛餐館),勞基法第7條、第23條第2項、第30條第5項,1.未依規定置備勞工名卡 2.未依規定置備勞工工資清冊 3.未依規定置備勞工出勤紀錄表,北府勞條字第1013016738號函、北府勞條字第10130167381號函、北府勞條字第10130167382號函,101年12月3日
巫由霜(即新莊英仁醫院),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10130212191號函,101年12月3日
張和城(即新北市私立千暉幼稚園),勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1013032982號函,101年12月6日
吳燕兒(即色杯子飲品專賣店),勞基法第23條第2項、第30條第5項、第36條,1.未依規定置備勞工工資清冊 2.未依規定置備勞工出勤紀錄表 3.每七日中未有一日之休息作為例假,北府勞條字第1013061820號函、北府勞條字第10130618201號函、北府勞條字第10130618202號函,101年12月7日
台灣麥當勞餐廳股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1013064746號函,101年12月7日
冠華企業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第1013040783號函,101年12月11日
三商行股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1013098466號函,101年12月14日
紅景天養生御品股份有限公司,勞基法第80條,拒絕、規避或阻撓勞動檢查,北府勞條字第1013103183號函,101年12月14日
精泉科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1013113766號函,101年12月18日
仁杰義金屬工業股份有限公司,勞基法第24條、第39條,1.延長工作時間未依規定加給工資 2.假日工資未給或於休假日工作未依規定加給工資,北府勞條字第1013125179號函、北府勞條字第10131251791號函,101年12月20日
游孟錠(即不回天澎湖生蠔店),勞基法第7條、第23條第2項、第30條第5項,1.未依規定置備勞工名卡 2.延長工作時間超過法令規定 3.未依規定置備勞工出勤紀錄表,北府勞條字第1013156217號函、北府勞條字第10131562171號函、北府勞條字第10131562172號函,101年12月24日
梁宇佑(即黑殿飯店),勞基法第24條、第32條第2項、第36條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假,北府勞條字第1013142138號函、北府勞條字第10131421381號函、北府勞條字第10131421382號函,101年12月25日
