事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
指南汽車客運股份公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第1012730005號函,101年10月18日
首都客運股份有限公司,勞基法第21條第1項,未達基本工資,北府勞條字第1013213355號函,102年1月3日
統聯汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1012692944號函,101年10月12日
統聯汽車客運股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,北府勞條字第1013218857號函,102年1月3日
台北汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1013020867號函,101年12月3日
福和客運股份有限公司,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,北府勞條字第1012733740號函、北府勞條字第10127337401號函,101年10月24日
福和客運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第1013205742號函,101年12月27日
國光客運汽車股份有限公司,勞基法第24條、第36條,1.延長工作時間未依規定加給工資 2.每七日中未有一日之休息作為例假,北府勞條字第1012495062號函、北府勞條字第10124950621號函,101年9月12日
國光客運汽車股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10132060371號函,102年1月3日
仙儷通運有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第1011708890號函,101年5月8日
