項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,大華觀光事業股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1012826047號函,101年11月1日
2,百樂龍企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1012840336號函,101年11月15日
2,百樂龍企業有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10128403361號函,101年11月15日
2,百樂龍企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工。,北府勞條字第1013077606號函,101年12月14日
3,兆利科技工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021345513號函,102年03月04日
4,波格有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021393831號函,102年03月11日
4,波格有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10213938311號函,102年03月11日
5,神腦國際企業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021404414號函,102年03月12日
6,惠民實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021378579號函,102年03月14日
6,惠民實業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10213785791號函,102年03月14日
7,承豐精密工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021397323號函,102年03月14日
7,承豐精密工業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10213973231號函,102年03月14日
8,三重汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第1021416048號函,102年03月14日
9,鋁祥發實業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021409517號函,102年03月15日
9,鋁祥發實業有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10214095171號函,102年03月15日
9,鋁祥發實業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10214095172號函,102年03月15日
10,萬達寵物事業股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,北府勞條字第1021418573號函,102年03月15日
11,全滋稻食品有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021436572號函,102年03月20日
11,全滋稻食品有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,北府勞條字第10214365721號函,102年03月20日
11,全滋稻食品有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10214365722號函,102年03月20日
11,全滋稻食品有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10214365723號函,102年03月20日
12,千翔保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第1021454570號函,102年03月20日
13,文揚資訊股份有限公司,勞基法第16條,未依規定期間預告。,北府勞條字第1021436818號函,102年03月22日
13,文揚資訊股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第10214368181號函,102年03月22日
13,文揚資訊股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10214368182號函,102年03月22日
14,所羅門租賃有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10212572664號函,102年03月25日
14,所羅門租賃有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1021457266號函,102年03月25日
14,所羅門租賃有限公司,勞基法第32條第1項,延長工作時間不符法定要件。,北府勞條字第10214572661號函,102年03月25日
