項次,事業單位/事業主,違反法令條款,違反法規內容,處分書文號,處分日期
1,惠康百貨股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1021432708號函,102年3月21日
2,輝達玻璃有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1021493106號函,102年3月26日
3,聯安保全股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1021552305號函,102年4月3日
3,聯安保全股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10215523051號函,102年4月3日
4,鴻銳保全股份有限公司,勞基法第22條第2項,工資未全額直接給付勞,北府勞條字第1021723926號函,102年5月3日
4,鴻銳保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10217239261號函,102年5月3日
4,鴻銳保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10217239262號函,102年5月3日
5,銘哲工程有限公司,*勞基法第30條第5項,繼續工作四小時未有三十分鐘休息,北府勞條字第1021878444號函,102年5月22日
6,立端科技股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022821862號函,102年10月9日
7,全台物流股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022699181號函,102年9月18日
8,泓展國際物流有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022924266號函,102年10月24日
9,皇昌營造股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022771891號函,102年10月3日
10,振專股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022589635號函,102年9月9日
11,根森保全股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1022677998號函,102年9月23日
11,根森保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10226779981號函,102年9月23日
11,根森保全股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10226779982號函,102年9月23日
11,根森保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10226779983號函,102年9月23日
11,根森保全股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10226779984號函,102年9月23日
11,根森保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10226779985號函,102年9月23日
12,財團法人天主教耕莘醫院,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022744318號函,102年9月30日
13,國倫人力資源管理有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022844788號函,102年10月16日
14,統一武藏野股份有限公司,*勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022704849號函,102年9月25日
15,華冠通訊股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1022874298號函,102年10月17日
16,新晰企業有限公司,勞基法第19條,未依規定發給服務證明書,北府勞條字第1022924271號函,102年10月25日
16,新晰企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第10229242711號函,102年10月25日
16,新晰企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,北府勞條字第1022962362號函,102年10月30日
17,僑福保全股份有限公司,*勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第10227820871號函,102年10月3日
