編號,事業單位,違反法令條款,違反法規內容,處分書文號,處分書日期
1,正隆股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1023076834號函,102年11月15日
2,正隆股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10230768341號函,102年11月15日
3,宏普科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023006073號函,102年11月05日
4,宏普科技股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10230060731號函,102年11月05日
5,宏普科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10230060732號函,102年11月05日
6,南亞科技股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023129801號函,102年11月28日
7,南亞科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10231298011號函,102年11月28日
8,相互股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1023340132號函,102年12月31日
9,凌華科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1022982068號函,102年11月04日
10,國泰醫療財團法人國泰綜合醫院,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023065837號函,102年11月19日
11,統一速達股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1023294489號函,102年12月17日
12,統一速達股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第10232944891號函,102年12月17日
13,紫羅軒婚紗攝影有限公司,勞基法第7條,未依規定置備勞工名卡,北府勞條字第1023065831號函,102年11月20日
14,紫羅軒婚紗攝影有限公司,勞基法第23條第1項,工資未定期給付勞工,北府勞條字第10230658311號函,102年11月20日
15,紫羅軒婚紗攝影有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,北府勞條字第10230658312號函,102年11月20日
16,勤力國際股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,北府勞條字第1023340117號函,102年12月31日
17,詩德登開發有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023109692號函,102年11月22日
18,詩德登開發有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10231096921號函,102年11月22日
19,詩德登開發有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10231096922號函,102年11月22日
20,詩德登開發有限公司,勞基法第70條第1項,工作規則未依規定報備並公告揭示,北府勞條字第10231096923號函,102年11月22日
21,臺灣湯淺電池股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第1023340073號函,102年12月30日
22,劉俊昇(即精英國際文理語文電腦美術珠心算短期補習班),勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023227028號函,102年12月10日
23,潮興工業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,北府勞條字第1023105633號函,102年11月21日
24,潮興工業股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,北府勞條字第10231056331號函,102年11月21日
25,潮興工業股份有限公司,勞基法第38條,未依規定給予特別休假,北府勞條字第10231056332號函,102年11月21日
26,潮興工業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,北府勞條字第10231056333號函,102年11月21日
