序號,事業單位,違反法令條款,違反法規內容,處分書文號,處分書日期
1,三豐壓送股份有限公司,勞基法第32-1條,延長工作時間不符法定要件。,北府勞條字第10223080090號,102年7月26日
2,三豐壓送股份有限公司,勞基法第38條,未依規定給予特別休假。,北府勞條字第102230800901號,102年7月26日
3,三豐壓送股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第102230800902號,102年7月26日
4,北智捷汽車股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1023047948號,102年11月18日
5,北智捷汽車股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10230479481號,102年11月18日
6,北智捷汽車股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10230479482號,102年11月18日
7,北智捷汽車股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030609803號,103年4月11日
8,北智捷汽車股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10306098031號,103年4月11日
9,佑豐貨運有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030035808號,103年1月9日
10,璨譽企業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030760103號,103年5月1日
11,璨譽企業有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第10307601031號,103年5月1日
12,璨譽企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10307601032號,103年5月1日
13,皇翔保全股份有限公司,勞基法第22-2條,工資未全額直接給付勞工。,北府勞條字第1030766051號,103年5月5日
14,皇翔保全股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第10307660511號,103年5月5日
15,皇翔保全股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第10307660512號,103年5月5日
16,皇翔保全股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,北府勞條字第10307660513號,103年5月5日
17,萬盛實業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第1030793568號,103年5月5日
18,欣欣客運股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假。,北府勞條字第1030787973號,103年5月8日
19,柏昌紙器股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,北府勞條字第1030829184號,103年5月9日
20,神腦國際企業股份有限公司,勞基法第32-2條,延長工作時間超過法令規定。,北府勞條字第1030865652號,103年5月14日
