事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
太極能源科技股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字1010288766號、府勞動字10102887661號,1011114,行政院勞工委員會北區勞動檢查所專案檢查(101年勞動條件檢查行前宣導計畫)
銘鈺精密工業股份有限公司二廠,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010303578號,1011128,1.行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫) 2.重複違反勞基法第32條第2項
綠映人資企管顧問有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,府勞動字10103003871號,1011128,重複違反勞基法第70條
致茂電子股份有限公司林口廠,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010294026號,1011119,1. 行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫) 2. 重複違反勞基法第32條第2項
台灣艾司摩爾股份有限公司桃園廠,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府勞動字1010291686號,1011115,行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫)
宏達國際電子股份有限公司桃園廠,勞基法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,府勞動字1010309032號、府勞動字第1010309887號、府勞動字第1010309878號、府勞動字1010329225號,1011205、1011206、1011228,重複違反勞基法第24條、第32條第2項
欣波實業有限公司,勞基法第24條、第32條第2項、第39條、第49條第1項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資 4.使女工從事夜間工作不符法定要件,府勞動字1010304038號、府勞動字10103040381號、府勞動字10103040382號、府勞動字10103040383號,1011205,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
欣極企業有限公司,勞基法第22條第2項、第24條第32條第2項,1.工資未全額直接給付勞工 2.延長工作時間未依規定加給工資 3.延長工作時間超過法令規定,府勞動字1010311928號、府勞動字10103119281號、府勞動字10103119282號,1011212,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
華通電腦股份有限公司大園廠,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010297455號,1011126,重複違反勞基法第32條第2項
馨寶顯機械有限公司吉林廠,勞基法第24條第39條,1.延長工作時間未依規定加給工資 2.假日工資未給或於休假日工作未依規定加給工資,府勞動字1010320418號、府勞動字10103204181號,1011218,行政院勞工委員會北區勞動檢查所專案檢查(101年勞動條件檢查行前宣導計畫)
弘達流通股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010323388號,1011220,重複違反勞基法第32條第2項
金像電子股份有限公司,勞基法第32條第2項、第36條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字1010292520號、府勞動字10102925201號,1011119,1.本府自辦專案檢查 2.重複違反勞基法第32條第2項、第36條
信東生技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010289802號,1011114,重複違反勞基法第32條第2項
北健有線電視股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞動字1010289802號,1011225,重複違反勞基法第32條第2項
