事業單位名稱,違反法令條款,處分書文號,處分日期,備註
中環股份有限公司,勞動基準法 第 24 條,府勞動字第1010112917,101.5.8,重複違反同一法條
中環股份有限公司,勞動基準法 第 32 條第 2 項,府勞動字第1010101818,101.4.25,重複違反同一法條
台灣表面黏著科技股份有限公司,勞動基準法 第 36 條,府勞動字第1010059646,101.3.13,重複違反同一法條
台灣表面黏著科技股份有限公司,勞動基準法 第 32 條第 2 項,府勞動字第10100596461,101.3.13,重複違反同一法條
和碩聯合科技股份有限公司,勞動基準法 第 32 條第 2 項,府勞動字第1010074713,101.3.26,重複違反同一法條
和碩聯合科技股份有限公司,勞動基準法 第 24 條,府勞動字第1010075952,101.3.28,重複違反同一法條
木菘有限公司,勞動基準法 第 39 條,府勞動字第10101047082,101.5.7,重複違反同一法條
木菘有限公司,勞動基準法 第 36 條,府勞動字第10101047081,101.5.7,重複違反同一法條
嘉里大榮物流股份有限公司,勞動基準法 第 32 條第 1 項,府勞動字第10101308911,101.5.28,重複違反同一法條
嘉里大榮物流股份有限公司,勞動基準法 第 30 條第 5 項,府勞動字第1010130309,101.5.30,重複違反同一法條
復盛應用科技股份有限公司,勞動基準法 第 32 條第 2 項,府勞動字第10101123111,101.5.8,重複違反同一法條
復盛應用科技股份有限公司,勞動基準法 第 24 條,府勞動字第1010112311,101.5.8,重複違反同一法條
登凱工程有限公司,勞動基準法 第 21 條第 1 項,府勞動字第1010064744,101.3.16,101 年度人力派遣及技術生專案檢察 
登凱工程有限公司,勞動基準法 第 39 條,府勞動字第1010043257,101.2.29,101 年度人力派遣及技術生專案檢察
艾肯管理顧問管理有限公司,勞動基準法 第 32 條第 2 項,府勞動字第1010091930,101.4.15,101 年度人力派遣及技術生專案檢察
艾肯管理顧問管理有限公司,勞動基準法 第 24 條,府勞動字第1010069412,101.4.11,101 年度人力派遣及技術生專案檢察
聲寶股份有限公司,勞動基準法 第 32 條第 2 項,府勞動字第1010129235,101.5.28,101 年度人力派遣及技術生專案檢察
敬鵬工業股份有限公司,勞動基準法,第 32 條第 2 項,府勞動字第1010073086,101.3.26,重複違反同一法條
