事業單位名稱,違反法令條款,處分書文號,處分日期,備註
威策電腦股份有限公司,勞基法 第 70 條,府勞動字 1010195154 號,101.8.8,行政院勞工委員會北區勞動檢查所專案檢查
祐琪企業社,勞基法 第 30 條 第 5 項,府勞動字 1010199837 號,101.8.13,自辦專案檢查
豐沛興業有限公司,勞基法 第 49 條 第 1 項,府勞動字 1010199835 號,101.8.12,自辦專案檢查
亦翔企業社,勞基法 第 30 條 第 5 項,府勞動字 1010199839 號,101.8.12,自辦專案檢查
錦鈺國際股份有限公司,勞基法 第 49 條 第 1 項,府勞動字 1010199836 號,101.8.12,自辦專案檢查
冷飲店茶水棧,勞基法 第 21 條 第 1 項,府勞動字 1010186159 號,101.7.30,自辦專案檢查
宏維國際開發有限公司,勞基法 第 30 條 第 5 項,府勞動字 1010217600 號,101.8.31,行政院勞工委員會北區勞動檢查所專案檢查
耀華人力資源有限公司,勞基法 第 39 條,府勞動字 1010211877 號,101.8.24,行政院勞工委員會北區勞動檢查所專案檢查
瀚宇博德股份有限公司觀音廠,勞基法 第 32 條 第 2 項,府勞動字 1010212142 號,101.8.27,自辦專案檢查
先豐通訊股份有限公司,勞基法 第 36 條,府勞動字 1010212230 號,101.8.27,自辦專案檢查
良機實業股份有限公司,勞基法 第 36 條,府勞動字 1010215775 號,101.8.30,自辦專案檢查
人人人力資源有限公司,勞基法 第 24 條,府勞動字 1010213210 號,101.8.28,配合其他部會之專 案檢查
慈護中醫診所,勞基法 第 21 條 第 1 項,府勞動字 1010164283 號,101.7.5,自辦專案檢查
佑亨科技有限公司,勞基法 第 24 條,府勞動字 1010167012 號,101.7.6,自辦專案檢查
泰豐輪胎股份有限公司,勞基法 第 32 條 第 2 項,府勞動字 1010214814 號,101.8.10,自辦專案檢查
桃苗汽車股份有限公司,勞基法 第 32 條 第 2 項,府勞動字 1010191206 號,101.8.3,自辦專案檢查
六和機械股份有限公司,勞基法 第 24 條、 第 32 條 第 2 項,府勞動字 1010188314 號 10101883141 號,101.7.31,自辦專案檢查
金運科技股份有限公司,勞基法 第 32 條 第 2 項,府勞動字 1010188226 號,101.8.1,自辦專案檢查
