事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註 
神準科技股份有限公司華亞廠,勞基法 第24條、 第 32 條 第 2 項, 1. 延長工作時間 未依規定加給工資 2. 延長工作時間超過法令規定,府勞動字第1010223830 府勞動字第10102238301,1010906, 1. 行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫) 2. 重複違反勞基法第 32 條第 2 項
人人人力資源有限公司,勞基法第24條、 第 32 條 第 2 項、 第39條、 第 70 條, 1. 延長工作時間未依規定加給工資 2. 延長工作時間超過法令規定 3. 假日工資未給或於休假日工作未依規定加給工資 4. 工作規則未依規定報備並公告揭示, 府勞動字第1010213210 府勞動字第10102582901 府勞動字第10102582902 府勞動字第10102582903,1011016, 1. 行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫) 2. 重複違反勞基法第 32 條第 2 項
揚順國際有限公司,勞基法第 9 條 第 1 項、 第 21 條 第 1 項、 第 30 條 第 5 項,1. 違反規定訂定定期契約 2. 未達基本工資 3. 未依規定置備勞工出勤紀錄表,府勞動字第1010235690 府勞動字第10102356901 府勞動字第10102356902,1010920,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
東鋐人力資源有限公司,勞基法 第 22 條 第 2 項,工資未全額給付給勞工,府勞動字第1010260530,1011016,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
台灣東電化股份有限公司,勞基法 第 30 條 第 5 項,未依規定置備勞工出勤紀錄表,府勞動字第1010256643,1011012,行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫)
台灣表面黏著科技股份有限公司桃鶯廠,勞基法第36條、第 32 條 第 2 項,1. 每七日中未有一日之休息作為例假 2. 延長工作時間超過法令規定,府勞動字第10102612431 府勞動字第1010261243,1011016, 1. 行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫) 2. 重複違反勞基法第 36 條、第 32 條第 2 項
驊鑑人力資源有限公司,勞基法 第24條、 第 32 條 第 1 項、 第 70 條,1. 延長工作時間未依規定加給工資 2. 延長工作時間不符法定要件 3. 工作規則未依規定報備並公告揭示,府勞動字第1010256695 府勞動字第10102566951 府勞動字第10102566952,1011018,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
瀚宇博德股份有限公司觀音廠,勞基法 第 32 條 第 2 項,延長工作時間超過法令規定,府勞動字第1010253840,1011008, 1. 行政院勞工委員會北區勞動檢查所專案檢查(101 年勞動條件檢查行前宣導計畫) 2. 重複違反勞基法第 32 條第 2 巷
台灣和民餐飲股份有限公司桃園分公司,勞基法 第 32 條 第 1 項,延長工作時間不符法定要件,府勞動字第1010267041,1011023,行政院勞工委員會北區勞動檢查所專案檢查(工讀生勞動條件專案檢查計畫)
三迎科技有限公司,勞基法第 32 條 第 2 項,延長工作時間超過法令規定,府勞動字第1010237214,1010924,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
寶島人力資源有限公司,勞基法第 32 條 第 2 項、 第 36 條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第1010237669 府勞動字第10102376691,1010921,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
大桃園人力有限公司,勞基法第 24 條,延長工作時間未依規定加給工資,府勞動字第1010237706,1010921,行政院勞工委員會北區勞動檢查所專案檢查(勞動派遣專案檢查計畫)
漢威保全股份有限公司,勞基法第 30 條 第 5 項,未依規定置備勞工出勤紀錄表,府勞動字第1010269312,1011024,行政院勞工委員會北區勞動檢查所專案檢查(保全服務業勞動條件專案檢查)
明基材料股份有限公司桃園廠,勞基法 第 32 條 第 2 項,延長工作時間超過法令規定,府勞動字第1010265501,1011020,1. 行政院勞工委員會北區勞動檢查所專案檢查(製造業（電子業）工作時間專案檢查計畫) 2. 重複違反勞基法第 32 條第 2 項
桃園航勤股份有限公司,勞基法 第 32 條 第 2 項,延長工作時間超過法令規定,府勞動字第1010241422,1010925,1. 本府自辦專案檢查 2. 重複違反勞基法第 32 條第 2 項
聯茂電子股份有限公司平鎮廠,勞基法 第 32 條 第 2 項,延長工作時間超過法令規定,府勞動字第1010251087,1011008, 重複違反勞基法第 32 條第 2 項
義隆纖維工業股份有限公司桃園工廠,勞基法第 36 條,每七日中未有一日之休息作為例假,府勞動字第1010247160,1011001,重複違反勞基法第 36 條
宏達國際電子股份有限公司桃園廠,勞基法 第 30 條 第 5 項,未依規定置備勞工出勤紀錄表,府勞動字第1010269027,1011024,重複違反勞基法第 30 條第 5 項
敬鵬工業股份有限公司平鎮五廠,勞基法第 36 條,每七日中未有一日之休息作為例假,府勞動字第1010264634,1011019, 重複違反勞基法第 36 條
台全電機股份有限公司,勞基法第 32 條第 2 項,延長工作時間超過法令規定,府勞動字第1010248349,1011002,重複違反勞基法第 32 條第 2 項
昇元窯業股份有限公司,勞基法第 32 條第 2 項、第 36 條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第1010254957 府勞動字第10102549571,1011012,重複違反勞基法第 32 條第 2 項及第 36 條
台灣嘉碩科技股份有限公司,勞基法第 32 條第 2 項,延長工作時間超過法令規定,府勞動字第1010254532,1011012,重複違反勞基法第 32 條第 2 項
健鼎科技股份有限公司,勞基法第 32 條第 2 項,延長工作時間超過法令規定,府勞動字第1010264874,1011023,重複違反勞基法第 32 條第 2 項
廣達電腦股份有限公司,勞基法第 24 條,延長工作時間未依規定加給工資,府勞動字第1010229860 府勞動字第10102298601,1010914,重複違反勞基法第 24 條
永潤食品股份有限公司,勞基法第 32 條第 2 項、第 36 條,1.延長工作時間超過法令規定 2.每七日中未有一日之休息作為例假,府勞動字第1010250683 府勞動字第10102506831,1011008,本府自辦專案檢查
