項次,事業單位,違反法令,違反法規內容,處分書文號,處分日期
1,漢廷開發股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020171760號,102/07/16
2,悅華開發股份有限公司,勞基法第9條,違反規定訂定定期契約,102年府勞檢字1020173081號,102/07/16
2,悅華開發股份有限公司,勞基法第38條,未依規定給予特別休假,102年府勞檢字10201730811號,102/07/16
2,悅華開發股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字10201730812號,102/07/16
3,統一速達股份有限公司南桃園營業所,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020173324號,102/07/18
4,合智工業股份有限公司楊梅廠,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020163377號,102/07/03
4,合智工業股份有限公司楊梅廠,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10201633771號,102/07/03
4,合智工業股份有限公司楊梅廠,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10201633772號,102/07/03
5,程國東（即東信聯合會計師事務所）,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020178380號,102/07/24
5,程國東（即東信聯合會計師事務所）,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10201783801號,102/07/24
6,佰事達物流股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020169216號,102/07/10
7,台灣省私立八德殘障教養院,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020170257號,102/07/11
8,財團法人桃園縣私立佳安老人長期照顧中心(養護型),勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10201932621號,102/08/08
8,財團法人桃園縣私立佳安老人長期照顧中心(養護型),勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020193262號,102/08/08
9,黃韋霖（即三立企業社）,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020192066號,102/08/05
10,創國精密股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020206715號,102/08/22
11,黃福健(即桃園縣龍潭鄉農會超市),勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020211090號,102/08/28
11,黃福健(即桃園縣龍潭鄉農會超市),勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字10202110901號,102/08/28
12,中華電線電纜股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020185707號,102/08/05
13,中興電工機械股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10201931331號,102/08/07
14,萬洲化學股份有限公司楊梅一廠,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020198856號,102/08/14
14,萬洲化學股份有限公司楊梅一廠,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10201988561號,102/08/14
14,萬洲化學股份有限公司楊梅一廠,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10201988562號,102/08/14
15,兆邦光電股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字10201748941號,102/07/24
16,琉明斯光電科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020166440號,102/07/09
17,金像電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020175936號,102/07/18
18,亨通國際開發股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020199332號,102/08/13
19,清富纖維股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020211072號,102/08/26
19,清富纖維股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202110721號,102/08/26
19,清富纖維股份有限公司,勞基法第38條,未依規定給予特別休假,102年府勞檢字10202110722號,102/08/26
20,行政院衛生署桃園醫院,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020207332號,102/08/22
21,施華洛婚紗攝影有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020207060號,102/08/22
21,施華洛婚紗攝影有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202070601號,102/08/22
21,施華洛婚紗攝影有限公司,勞基法第37條,依規定應放假之日未予休假,102年府勞檢字10202070602號,102/08/22
22,櫳騏物業管理顧問有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020182979號、102年府勞檢字1020205811號,102/08/21、102/07/25
22,櫳騏物業管理顧問有限公司,勞基法第27條,違反主管機關限期給付工資之命令,102年府勞檢字1020163962號,102/07/04
23,中華航空股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020203734號、102年府勞檢字1020192836號,102/08/19、102/08/15
23,中華航空股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020154107號,102/07/05
24,匯姿股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020196012號,102/08/08
24,匯姿股份有限公司,勞基法第32條第1項,延長工作時間不符法定要件,102年府勞檢字1020192435號,102/08/09
24,匯姿股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資,102年府勞檢字10201924351號,102/08/09
25,敬鵬工業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020176085號,102/07/19
26,屏榮食品股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020162654號,102/07/03
27,許友馨君(即意維飲料店),勞基法第21條第1項,未達基本工資,102年府勞檢字1020205683號,102/08/19
28,星光大饌視聽歌唱有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020162373號,102/07/04
29,台聯汽車客運股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020199468號,102/08/13
30,邱吉常君(即老先覺麻辣窯燒),勞基法第21條第1項,未達基本工資,102年府勞檢字1020207076號,102/08/20
31,謝鎮宇君(即八蓁臭臭鍋店),勞基法第30條第5項,未依規定置備勞工出勤紀錄表,102年府勞檢字1020205697號,102/08/19
32,欣大中有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020174781號,102/07/17
