項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,中華航空股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020267012號,102/11/11,
1,中華航空股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020296308號,102/12/13,
2,中環股份有限公司,勞基法第30條第1項,正常工作時間超過法令規定,102年府勞檢字1020276310號,102/11/07,
3,五南圖書出版股份有限公司,勞基法第32條第1項,延長工作時間不符法定要件,102年府勞檢字10202710543號,102/11/07,
3,五南圖書出版股份有限公司,勞基法第32條第3項,延長工作時間未依規定報主管機關備查，或事後補給勞工適當之休息,102年府勞檢字1020271054號,102/11/07,
3,五南圖書出版股份有限公司,勞基法第43條,請假期間未依規定給付工資,102年府勞檢字10202710541號,102/11/07,
3,五南圖書出版股份有限公司,勞基法第49條第1項,使女工從事夜間工作不符法定要件,102年府勞檢字10202710544號,102/11/07,
3,五南圖書出版股份有限公司,勞基法第70條,工作規則未依規定報備並公告揭示,102年府勞檢字10202710542號,102/11/07,
4,天昶實業股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字10202752032號,102/11/08,
4,天昶實業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202752031號,102/11/08,
4,天昶實業股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020275203號,102/11/08,
5,日月光半導體製造股份有限公司中壢分公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020281476號,102/11/19,
5,日月光半導體製造股份有限公司中壢分公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字10202814761號,102/11/19,
5,日月光半導體製造股份有限公司中壢分公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020320519號,102/12/30,
6,台光電子材料股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202979711號,102/12/04,
6,台光電子材料股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020295470號,102/12/05,
7,台聯汽車客運股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020272579號,102/11/07,
8,瓦城泰統股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,102年府勞檢字1020286397號,102/11/25,
8,瓦城泰統股份有限公司,勞基法第24條、第32條第2項,延長工作時間超過法令規定,102年府勞檢字10202863971號,102/11/25,
9,安泰商業銀行股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020291739號,102/11/27,
10,有建營造股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字1020287348號,102/11/21,
10,有建營造股份有限公司,勞基法第38條,未依規定給予特別休假,102年府勞檢字10202873481號,102/11/21,
10,有建營造股份有限公司,勞基法第43條,請假期間未依規定給付工資,102年府勞檢字10202873482號,102/11/21,
11,住都飯店股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,102年府勞檢字1020304857號,102/12/12,
12,明基材料股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020285985號,102/11/19,
13,金像電子股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020277400號,102/11/12,
14,屏榮食品股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字1020283456號,102/11/15,
15,凌巨科技股份有限公司,勞基法第32條第2項、第24條,延長工作時間超過法令規定,102年府勞檢字10202715651號,102/11/13,
15,凌巨科技股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,102年府勞檢字10203069591號,102/12/15,
