項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,備註
31,仁祥醫院,勞動基準法39條,每七日中未有一日之休息做為例假,103年府勞檢字1030079853號,103/04/09,勞動部職業安全衛生署專案檢查(醫療專案)
32,天成醫院,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030097915號,103/05/09,勞動部職業安全衛生署專案檢查(醫療專案)
33,台聯汽車客運股份有限公司,勞動基準法39條,每七日中未有一日之休息做為例假,103年府勞檢字1030054041號,103/03/18,勞動部職業安全衛生署專案檢查(國道客運專案)
34,佑民醫院,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030064996號,103/03/24,勞動部職業安全衛生署專案檢查(醫療專案)
35,宏其醫療社團法人宏其婦幼醫院,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030075599號,103/04/02,勞動部職業安全衛生署專案檢查(醫療專案)
36,桃園汽車客運股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030055062號,103/03/12,勞動部職業安全衛生署專案檢查(國道客運專案)
37,國軍桃園總醫院附設民眾診療服務處,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030096502號,103/04/28,勞動部職業安全衛生署專案檢查(醫療專案)
38,華揚醫院,勞動基準法49條1項,使女工從事夜間工作不符法定要件,103年府勞檢字10300889292號,103/04/18,勞動部職業安全衛生署專案檢查(醫療專案)
38,華揚醫院,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300889291號,103/04/18,
38,華揚醫院,勞動基準法32條1項,延長工作時間不符法定要件,103年府勞檢字1030088929號,103/04/18,
39,新國民醫院,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030086331號,103/04/16,勞動部職業安全衛生署專案檢查(醫療專案)
40,福太醫院,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字1030082533號,103/04/14,勞動部職業安全衛生署專案檢查(醫療專案)
41,龍潭敏盛醫院,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300976291號,103/04/29,勞動部職業安全衛生署專案檢查(醫療專案)
41,龍潭敏盛醫院,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030097629號,103/04/29,
42,中環股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030077535號,103/04/07,
43,台灣表面黏著科技股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300840211號,103/04/14,
43,台灣表面黏著科技股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030084021號,103/04/14,
44,位速科技股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030049454號,103/03/07,
45,佳佳農產品實業有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300595791號,103/03/18,
45,佳佳農產品實業有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030059579號,103/03/18,
46,昱暐工業股份有限公司,勞動基準法39條,每七日中未有一日之休息做為例假,103年府勞檢字10300802242號,103/04/09,
46,昱暐工業股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300802241號,103/04/09,
46,昱暐工業股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030080224號,103/04/09,
47,第一美卡事業股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字1030092389號,103/04/22,
48,鳥丸工場食品股份有限公司,勞動基準法49條第1項,使女工從事夜間工作不符法定要件,103年府勞檢字10300815875號,103/04/11,
48,鳥丸工場食品股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字10300815874號,103/04/11,
48,鳥丸工場食品股份有限公司,勞動基準法32條1項,延長工作時間不符法定要件,103年府勞檢字10300815873號,103/04/11,
48,鳥丸工場食品股份有限公司,勞動基準法30條第5項,未依規定置備勞工出勤紀錄表,103年府勞檢字10300815872號,103/04/11,
48,鳥丸工場食品股份有限公司,勞動基準法24條,延長工作時間未依規定加給工資,103年府勞檢字10300815871號,103/04/11,
48,鳥丸工場食品股份有限公司,勞動基準法22條第2項,工資未直接全額給付勞工,103年府勞檢字1030081587號,103/04/11,
49,遠東新世紀股份有限公司,勞動基準法36條,每七日中未有一日之休息做為例假,103年府勞檢字10300956091號,103/04/29,
50,瀚宇博德股份有限公司,勞動基準法32條2項,延長工作時間超過法令規定,103年府勞檢字1030092899號,103/04/28,
51,瓦城泰統股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,102年府勞檢字10202863972號,102/11/25,
