項次,事業單位名稱（負責人姓名）,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,台灣保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字1030100877號,103/05/01,本府自辦專案檢查(保全專案)
2,莒光保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,103年府勞檢字1030104856號,103/05/06,本府自辦專案檢查(保全專案)
3,惠眾保全股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030104511號,103/05/06,本府自辦專案檢查(保全專案)
3,惠眾保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字10301045111號,103/05/06,
4,警仕廳保全股份有限公司,勞動基準法第30條5項,未依規定置備勞工出勤紀錄表,103年府勞檢字1030109502號,103/05/12,本府自辦專案檢查(保全專案)
5,李崇信君(即桃園縣身心障礙者日間托遇住宿服務中心),勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030128416號,103/06/03,本府自辦專案檢查(社福機構專案)
6,萬翔餐廳股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030134831號,103/06/09,本府自辦專案檢查(技術生專案)
7,台聯汽車客運股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,103年府勞檢字1030136178號,103/06/12,本府自辦專案檢查(國道客運專案)
8,香港商世界健身事業有限公司林口分公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030103103號,103/05/05,
9,迎廣科技股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030106915號,103/05/09,
10,中華航空股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030108995號,103/05/19,
11,富積電子股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字10301199771號,103/05/22,
12,倉和股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030123349號,103/05/28,
12,倉和股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030138489號,103/06/13,
13,中勤實業股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030128099號,103/05/30,
14,連鴻保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字1030129334號,103/06/04,
15,生活保全股份有限公司,勞動基準法第21條1項,未達基本工資,103年府勞檢字1030133632號,103/06/09,
16,誼光保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字1030136324號,103/06/11,
17,國光汽車客運股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030129642號,103/06/12,
18,泰豐輪胎股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030138962號,103/06/13,
19,大磬企業有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030140073號,103/06/16,
20,唯銘企業有限公司,勞動基準法第22條2項,工資未全額直接給付勞工,103年府勞檢字10301425051號,103/06/18,
20,唯銘企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,103年府勞檢字10301425052號,103/06/18,
20,唯銘企業有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字10301425053號,103/06/18,
21,基銓企業股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030142570號,103/06/18,
21,基銓企業股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字10301425701號,103/06/18,
22,第一美卡事業股份有限公司,勞動基準法第32條2項,延長工作時間超過法令規定,103年府勞檢字1030145148號,103/06/20,
22,第一美卡事業股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字10301451481號,103/06/20,
23,六和機械股份有限公司,勞動基準法第36條,每七日中未有一日之休息做為例假,103年府勞檢字1030147757號,103/06/24,
24,聯邦商業銀行股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,103年府勞檢字1030150606號,103/06/26,
