項次,事業單位/事業主,違反法令條款,違反法規內容,處分書文號,處分日期
1,城東玻璃股份有限公司,勞基法第24條,加班費未給付,府勞資字第1020061273號,102.05.09
3,志同塑膠股份有限公司,勞基法第36條,未作7休1,府勞資字第10200071627號,102.05.31
4,鉅登保全股份有限公司,勞基法第24條、第70條,加班費未給付及未訂定工作規則,府勞資字第10200071628號,102.06.14
5,全日保全股份有限公司,勞基法第70條,未訂定工作規則,府勞資字第10200074742號,102.06.20
6,長榮警備保全股份有限公司,勞基法第36條,未作7休1,府勞資字第10200080699號,102.06.20
7,福營塑膠股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府勞資字第1020080698號,102.06.20
8,侖宇有限公司,勞基法第39條,假日工資未加倍給付,府勞資字第1020080697號,102.06.20
9,新竹縣私立千蕎幼兒園,勞基法第30條第5項,未備置出勤記錄,府勞資字第1020086118號,102.07.03
10,永信容器工業股份有限公司,勞基法第36條,未作7休1,府勞資字第1020086119號,102.07.03
11,新竹縣私立薇楓幼兒園,勞基法第24條、第32-1條、第32-2條,加班費未給付及延長工時超過法令規定,府勞資字第1020089491號,102.07.08
12,濟翔醫材股份有限公司,勞基法第32條第2項,延長工時超過法令規定,府勞資字第1020089819號,102.07.17
13,隆達電子股份有限公司,勞基法第30條第5項,未備置出勤記錄,府勞資字第1020095791號,102.07.26
14,普來利實業(股)有限公司,勞基法第32條第2項,延長工時超過法令規定,府勞資字第1020096002號,102.07.26
15,新棋興交通股份有限公司,勞基法第32條第2項,延長工時超過法令規定,府勞資字第1020094679號,102.08.01
16,光興國際股份有限公司,勞基法第24條,加班費未給付,府勞資字第1020098326號,102.08.01
17,逸昌科技股份有限公司,勞基法第24條、第32條第2項,加班費未給付及超時工作,府勞資字第1020115339號,102.08.09
18,聯緯聯合會計師事務所,勞基法第24條、第32-1條、第32-2條、第49-1條,加班費未給付及延長工時超過法令規定暨女性夜間工作不符法定要件,府勞資字第1020117029號,102.08.14
