事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
力士有限公司,第22條第2項、第24條,工資未全額直接給付勞工、延長工作時間未依規定加給工資,府授勞動字第1010105433號,101.06.25
國際保全股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1010109283號,101.07.03
紅景天養生御品股份有限公司,勞基法第第27條,違反主管機關限期給付工資之命令,府授勞動字第1010219168號,101.12.06
亞東預拌混凝土股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定,府授勞動字第10102162915號,101.12.10
道錄科技股份有限公司,勞基法第第27條,違反主管機關限期給付工資之命令,府授勞動字第1010221957號,101.12.12
國際保全股份有限公司,勞基法第第27條,違反主管機關限期給付工資之命令,府授勞動字第1010221979號,101.12.12
裕毛屋企業股份有限公司,勞基法第24條,延長工作時間未依規定加給工資,府授勞動字第1010221748號,101.12.18
古昱筠即米夏爾風味館,勞基法第第27條,違反主管機關限期給付工資之命令,府授勞動字第1010226045號,101.12.19
克羅斯國際有限公司,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第1010229463號,101.12.24
千禧鴻不動產有限公司,勞基法第30條第1項,正常工作時間超過法令規定,府授勞動字第1010232875號,101.12.26
康樂遊覽汽車股份有限公司,勞基法第36條,每七日中未有一日之休息作為例假,府授勞動字第1010233049號,101.12.27
