項次,事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
1,國際保全股份有限公司,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1010223426號,101年12月19日
2,昇奕科技有限公司,勞基法第32條第2項、勞基法第36條,延長勞工工時超過法令規定、未每七日給予勞工一日休息作為例假,府授勞動字第1020093582號,102年6月3日
3,駿衛保全股份有限公司,勞基法第24條、勞基法第30條第5項、勞基法第32條第2項、勞基法第39條,延長工作時間未依規定加給延長工時工資、未詳實記載勞工出勤情形、延長勞工工時超過法令規定、使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020093612號,102年6月3日
4,伯克錸保全股份有限公司,勞基法第22條第2項、勞基法第38條、勞基法第39條,工資未全額直接給付勞工、未依規定給予特別休假、使勞工於休假日出勤未加倍發給工資,府授勞動字第1020101355號,102年6月7日
5,私房泰有限公司,勞基法第24條、勞基法第36條、勞基法第39條,延長工作時間未依規定加給延長工時工資、未每七日給予勞工一日休息作為例假、使勞工於休假日出勤未加倍發給工資,府授勞動字第1020101348號,102年6月7日
6,千禧鴻不動產有限公司,勞基法第30條第1項,使勞工正常工作時間超過規定,府授勞動字第1020100110號,102年6月11日
7,葉合佑實業有限公司,勞基法第24條、勞基法第32條第2項、勞基法第39條,延長工作時間未依規定加給延長工時工資、延長勞工工時超過法令規定、未依規定給予勞工休假日出勤工資,府授勞動字第1020103625號,102年6月14日
8,台灣航空電子股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020106237號,102年6月17日
9,禾頡物流有限公司,勞基法第39條,使勞工於休假日出勤未加倍發給工資,府授勞動字第1020105976號,102年6月18日
10,超峰快遞股份有限公司,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020105998號,102年6月18日
11,山立通運股份有限公司,勞基法第32條第2項、勞基法第70條,延長勞工工時超過法令規定、未訂立工作規則報請主管機關核備,府授勞動字第1020105972號,102年6月18日
12,鉑泰實業股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020106836號,102年6月18日
13,裕元花園酒店股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020112632號,102年6月26日
14,環瑋企業股份有限公司,勞基法第21條第1項、勞基法第24條、勞基法第32條第2項、勞基法第38條、勞基法第39條,未給予勞工工資達基本工資以上、延長工作時間未依規定加給延長工時工資、延長勞工工時超過法令規定、未依規定給予特別休假、使勞工於休假日出勤未加倍發給工資,府授勞動字第1020114108號,102年6月27日
15,銀泰科技股份有限公司,勞基法第22條第2項、勞基法第32條第1項、勞基法第32條第2項,工資未全額直接給付勞工、未經勞資會議同意延長勞工工作時間、延長勞工工時超過法令規定,府授勞動字第1020114124號,102年6月28日
16,李佳政即光公益店舖,勞基法第22條第2項、勞基法第24條、勞基法第39條,工資未全額直接給付勞工、延長工作時間未依規定加給延長工時工資、使勞工於休假日出勤未加倍發給工資,府授勞動字第1020114150號,102年6月28日
17,國光汽車客運股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020114416號,102年6月28日
18,中國醫藥大學附設醫院,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020114227號,102年6月28日
19,居之友保全股份有限公司,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020114777號,102年6月28日
