項次,事業單位名稱,違反法令條款,違反內容,處分書文號,處分日期
1,強固保全股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020013567號,102年1月28日
1,強固保全股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020013567號,102年1月28日
1,強固保全股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020013567號,102年1月28日
2,蕃茄村企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020020304號,102年2月4日
2,蕃茄村企業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020020304號,102年2月4日
2,蕃茄村企業有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020020304號,102年2月4日
2,蕃茄村企業有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020020304號,102年2月4日
3,銳格精機股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020029894號,102年2月19日
3,銳格精機股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020029894號,102年2月19日
3,銳格精機股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020029894號,102年2月19日
3,銳格精機股份有限公司,勞基法第43條,勞工請假期間未依規定給付工資,府授勞動字第1020029894號,102年2月19日
4,蕃茄村企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020030086號,102年2月21日
5,許明紅即一街童裝店,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020040635號,102年3月7日
5,許明紅即一街童裝店,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020040635號,102年3月7日
5,許明紅即一街童裝店,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020040635號,102年3月7日
6,大晉人力資源管理顧問有限公司,勞基法第30條第5項,未詳實記載勞工出勤情形,府授勞動字第1020145157號,102年8月8日
7,友力人力資源管理有限公司,勞基法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1020155159號,102年8月22日
8,遠來人力資源有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020156648號,102年8月27日
9,台灣中油股份有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020156660號,102年8月27日
10,史家芬即東洲企業社,勞基法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1020156738號,102年8月27日
10,史家芬即東洲企業社,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020156738號,102年8月27日
11,鮑曼即台中市私立志光文理短期補習班,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020156706號,102年8月27日
11,鮑曼即台中市私立志光文理短期補習班,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020156706號,102年8月27日
12,柯俊禎即維揚聯合會計師事務所台中分所,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020121038號,102年7月8日
12,柯俊禎即維揚聯合會計師事務所台中分所,勞基法第70條,工作規則未報請主管機關核備,府授勞動字第1020121038號,102年7月8日
13,國富浩華聯合會計師事務所台中所,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020126174號,102年7月15日
14,揚智聯合會計師事務所,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020130265號,102年7月18日
14,揚智聯合會計師事務所,勞基法第70條,未訂立工作規則報請主管機關核備,府授勞動字第1020130265號,102年7月18日
15,建智聯合會計師事務所,勞基法第32條第2項,延長勞工工時超過規定,府授勞動字第1020130277號,102年7月18日
15,建智聯合會計師事務所,勞基法第70條,未訂立工作規則報請主管機關核備,府授勞動字第1020130277號,102年7月18日
16,群智聯合會計師事務所,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020130534號,102年7月18日
16,群智聯合會計師事務所,勞基法第49條第1項,使女性勞工夜間工作未經勞資會議同意,府授勞動字第1020130534號,102年7月18日
16,群智聯合會計師事務所,勞基法第70條,未訂立工作規則報請主管機關核備,府授勞動字第1020130534號,102年7月18日
17,聯捷聯合會計師事務所,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020133987號,102年7月26日
18,林勝結即萬泰聯合會計師事務所,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020133987號,102年7月5日
19,巨業交通股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020135162號,102年7月26日
20,台中汽車客運股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020152181號,102年8月16日
21,王朝石即泳淼商行,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020114533號,102年7月1日
21,王朝石即泳淼商行,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020114533號,102年7月1日
21,王朝石即泳淼商行,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020114533號,102年7月1日
22,嘉里大榮物流股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020114383號,102年7月3日
22,嘉里大榮物流股份有限公司,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020114383號,102年7月3日
23,伯克錸物業管理顧問有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020116009號,102年7月3日
23,伯克錸物業管理顧問有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020116009號,102年7月3日
23,伯克錸物業管理顧問有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020116009號,102年7月3日
23,伯克錸物業管理顧問有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020116009號,102年7月3日
24,閃銀有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020116047號,102年7月3日
24,閃銀有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020116047號,102年7月3日
24,閃銀有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020116047號,102年7月3日
25,聯豐精密科技開發股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020121782號,102年7月4日
26,黃馨慧即臺中市私立葳采老人長期照顧中心養護型,勞基法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020117868號,102年7月4日
27,友倫工業股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020119898號,102年7月5日
27,友倫工業股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020119898號,102年7月5日
27,友倫工業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020119898號,102年7月5日
28,喬福機械工業股份有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020110111號,102年7月8日
28,喬福機械工業股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020110111號,102年7月8日
29,木林森國際開發有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020120056號,102年7月9日
29,木林森國際開發有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020120056號,102年7月9日
29,木林森國際開發有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020120056號,102年7月9日
29,木林森國際開發有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020120056號,102年7月9日
30,銳駿五金有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020120076號,102年7月9日
30,銳駿五金有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020120076號,102年7月9日
31,錦石企業有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020123016號,102年7月10日
31,錦石企業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020123016號,102年7月10日
31,錦石企業有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020123016號,102年7月10日
32,中工保全股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020123349號,102年7月10日
32,中工保全股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020123349號,102年7月10日
32,中工保全股份有限公司,勞基法第38條,未依規定給予勞工特別休假,府授勞動字第1020123349號,102年7月10日
33,順天醫療社團法人順天醫院,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020124420號,102年7月10日
33,順天醫療社團法人順天醫院,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020124420號,102年7月10日
33,順天醫療社團法人順天醫院,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020124420號,102年7月10日
34,觀展企業股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,無編號無日期,102年7月1日
34,觀展企業股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,無編號無日期,102年7月1日
34,觀展企業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,無編號無日期,102年7月1日
35,弘洋有限公司,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020127259號,102年7月16日
35,弘洋有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020127259號,102年7月16日
35,弘洋有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020127259號,102年7月16日
35,弘洋有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020127259號,102年7月16日
36,今國光學工業股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020128602號,102年7月16日
36,今國光學工業股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020128602號,102年7月16日
36,今國光學工業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020128602號,102年7月16日
37,北澤國際餐飲事業有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020126909號,102年7月18日
37,北澤國際餐飲事業有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020126909號,102年7月18日
37,北澤國際餐飲事業有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020126909號,102年7月18日
38,仁友汽車客運股份有限公司,勞基法第27條,違反主管機關限期給付工資之命令,府授勞動字第1020130482號,102年7月18日
39,王漢杰即明揚台灣文創精品工藝社,勞基法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020130819號,102年7月22日
40,模得發工業股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020131727號,102年7月22日
40,模得發工業股份有限公司,勞基法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020131727號,102年7月22日
41,新竹物流股份有限公司,勞基法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1020131863號,102年7月24日
41,新竹物流股份有限公司,勞基法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020131863號,102年7月24日
41,新竹物流股份有限公司,勞基法第36條,未每七日給予勞工一日休息作為例假,府授勞動字第1020131863號,102年7月24日
