項次,事業單位名稱（負責人姓名）,違反法令條款,違反法規內容,處分書文號,處分日期
1,中華稅務研習有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020137653號函,102年7月31日
1,中華稅務研習有限公司,勞動基準法第23條第2項,未置備工資清冊,府授勞動字第1020137653號函,102年7月31日
1,中華稅務研習有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1020137653號函,102年7月31日
2,震虎精密科技股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020150605號函,102年8月14日
3,建明汽車客運股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1020239326號函,102年12月11日
4,志成通運有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020254922號函,103年1月2日
5,寶文股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1020255985號函,103年1月3日
5,寶文股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1020255985號函,103年1月3日
5,寶文股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1020255985號函,103年1月3日
6,台灣保全股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030000610號函,103年1月6日
7,盛達企業股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030001724號函,103年1月6日
8,華信航空股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030001291號函,103年1月7日
9,巨業交通股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030002493號函,103年1月7日
10,大立光電股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030003957號函,103年1月8日
11,擎宏電子企業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030009430號函,103年1月20日
11,擎宏電子企業有限公司,勞動基準法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1030009430號函,103年1月20日
11,擎宏電子企業有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030009430號函,103年1月20日
11,擎宏電子企業有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030009430號函,103年1月20日
12,昆良工業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030011302號函,103年1月20日
12,昆良工業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1030011302號函,103年1月20日
12,昆良工業股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030011302號函,103年1月20日
13,國雲保全股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030010747號函,103年1月20日
14,嘉里大榮物流股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030013495號函,103年1月24日
14,嘉里大榮物流股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030013495號函,103年1月24日
15,品冠現代畜產股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030013502號函,103年1月24日
15,品冠現代畜產股份有限公司,勞動基準法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1030013502號函,103年1月24日
15,品冠現代畜產股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030013502號函,103年1月24日
16,巨業交通股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030018345號函,103年1月29日
17,大墩食品有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030023412號函,103年2月10日
17,大墩食品有限公司,勞動基準法第24條,延長工作時間未依規定加給延長工時工資,府授勞動字第1030023412號函,103年2月10日
17,大墩食品有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030023412號函,103年2月10日
18,喬崴進科技股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030023560號函,103年2月12日
19,國油通運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030023860號函,103年2月12日
20,山立通運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030030726號函,103年2月20日
20,山立通運股份有限公司,勞動基準法第70條,工作規則未報請主管機關核備,府授勞動字第1030030726號函,103年2月20日
21,陸合企業股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030028433號函,103年2月21日
22,怡佳管理顧問有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030028685號函,103年2月21日
23,喬山健康科技股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030031291號函,103年2月21日
24,王漢杰即明揚台灣文創精品工藝社,勞動基準法第27條,違反主管機關限期給付工資之命令,府授勞動字第1030030126號函,103年2月25日
25,統聯汽車客運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030036086號函,103年2月27日
