項次,事業單位名稱（負責人姓名）,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,豐原汽車客運股份有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1020228806號,102年11月26日,勞動部103年5月7日勞動法3字第1020036469函訴願駁回
2,國軍退除役官兵輔導委員會武陵農場,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1020226765號,102年11月28日,勞動部103年6月12日勞動法訴字第1030000780函訴願駁回
3,豐原汽車客運股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1020248410號,102年12月23日,勞動部103年5月6日勞動法3字第1030002393號函訴願駁回
4,環海生物科技股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030016802號,103年1月27日,勞動部103年6月11日勞動法訴字第1030003117函訴願駁回
5,中山醫學大學附設醫院,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030078907號,103年5月1日,　
6,東南汽車客運股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030046680號,103年5月1日,　
7,巨業交通股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030078936號,103年5月2日,客運業專案檢查
8,勤力國際股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030081840號,103年5月5日,　
9,曾麗蓉即雙賓美容百貨材料行,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030081847號,103年5月7日,　
9,曾麗蓉即雙賓美容百貨材料行,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030081847號,103年5月7日,　
9,曾麗蓉即雙賓美容百貨材料行,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030081847號,103年5月7日,　
9,曾麗蓉即雙賓美容百貨材料行,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030081847號,103年5月7日,　
11,凱文光電科技有限公司,勞動基準法第16條第3項,未依規給予預告工資,府授勞動字第1030082302號,103年5月7日,　
11,凱文光電科技有限公司,勞動基準法第23條第2項,未置備勞工工資清冊,府授勞動字第1030082302號,103年5月7日,　
11,凱文光電科技有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030082302號,103年5月7日,　
10,石恒科技股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030082571號,103年5月7日,　
10,石恒科技股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030082571號,103年5月7日,　
10,石恒科技股份有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030082571號,103年5月7日,　
12,巨業交通股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030084968號,103年5月9日,　
13,興農股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030086721號,103年5月12日,　
14,鈺達工業股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030089145號,103年5月15日,　
15,欣中環保企業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030089892號,103年5月16日,　
15,欣中環保企業股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030089892號,103年5月16日,　
16,鄭人豪即二哥飲料店,勞動基準法第21條第1項,未給予勞工工資達基本工資以上,府授勞動字第1030092556號,103年5月22日,　
16,鄭人豪即二哥飲料店,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030092556號,103年5月22日,　
16,鄭人豪即二哥飲料店,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030092556號,103年5月22日,　
16,鄭人豪即二哥飲料店,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030092556號,103年5月22日,　
16,鄭人豪即二哥飲料店,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030092556號,103年5月22日,　
16,鄭人豪即二哥飲料店,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030092556號,103年5月22日,　
17,元偉勝企業有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030092686號,103年5月22日,　
17,元偉勝企業有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030092686號,103年5月22日,　
17,元偉勝企業有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030092686號,103年5月22日,　
17,元偉勝企業有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030092686號,103年5月22日,　
18,仁山開發企業股份有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030094165號,103年5月22日,　
19,青田科技股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030068065號,103年5月27日,　
20,新崎光學科技有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030102058號,103年6月3日,　
21,東英測量工程有限公司,勞動基準法第16條第3項,未依規給予預告工資,府授勞動字第1030101542號,103年6月3日,　
21,東英測量工程有限公司,勞動基準法第23條第2項,未置備勞工工資清冊,府授勞動字第1030101542號,103年6月3日,　
21,東英測量工程有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030101542號,103年6月3日,　
22,悠跑國際有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030106436號,103年6月11日,　
22,悠跑國際有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030106436號,103年6月11日,　
23,中港興食品股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030106449號,103年6月11日,　
23,中港興食品股份有限公司,勞動基準法第32條第2項,延長勞工工時超過法令規定,府授勞動字第1030106449號,103年6月11日,　
23,中港興食品股份有限公司,勞動基準法第36條,未每七日中給予勞工一日之休息作為例假,府授勞動字第1030106449號,103年6月11日,　
24,勝旭工業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030108801號,103年6月13日,　
24,勝旭工業股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030108801號,103年6月13日,　
24,勝旭工業股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030108801號,103年6月13日,　
24,勝旭工業股份有限公司,勞動基準法第59條第1項,未依規給予職業災害補償,府授勞動字第1030108801號,103年6月13日,　
25,王豐防潮企業股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,府授勞動字第1030112795號,103年6月18日,　
25,王豐防潮企業股份有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030112795號,103年6月18日,　
25,王豐防潮企業股份有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030112795號,103年6月18日,　
25,王豐防潮企業股份有限公司,勞動基準法第39條,使勞工於休假日出勤未依規定加倍發給工資,府授勞動字第1030112795號,103年6月18日,　
25,王豐防潮企業股份有限公司,勞動基準法第70條,工作規則未報主管機關核備,府授勞動字第1030112795號,103年6月18日,　
26,羅得化學製藥有限公司,勞動基準法第24條,未依規定加給延長工時工資,府授勞動字第1030116885號,103年6月23日,　
26,羅得化學製藥有限公司,勞動基準法第30條第5項,未置備勞工出勤紀錄,府授勞動字第1030116885號,103年6月23日,　
26,羅得化學製藥有限公司,勞動基準法第38條,未依規定給予勞工特別休假,府授勞動字第1030116885號,103年6月23日,　
