項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,創新物流股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1030061523號,103年3月5日
2,宥鼎企業有限公司,勞基法第43條,請假未依規定給薪。,府勞動字第1030057671號,103年3月5日
3,品賀企業股份有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030062123號,103年3月5日
4,沙伯迪澳國際精品有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1030070186號,103年3月12日
4,沙伯迪澳國際精品有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表。,府勞動字第1030070186號,103年3月12日
4,沙伯迪澳國際精品有限公司,勞基法第38條,未依規定給予特別休假。,府勞動字第1030070186號,103年3月12日
4,沙伯迪澳國際精品有限公司,勞基法第70條第1項,僱用30人以上未報備工作規則,府勞動字第1030070186號,103年3月12日
5,協彬企業有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1030076236號,103年3月17日
6,伊瑪克國際股份有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1030075849號,103年3月18日
6,伊瑪克國際股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030075849號,103年3月18日
6,伊瑪克國際股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030075849號,103年3月18日
7,昇暘工業有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030064661號,103年3月19日
7,昇暘工業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030064661號,103年3月19日
7,昇暘工業有限公司,勞基法第43條,請假未依規定給薪。,府勞動字第1030064661號,103年3月19日
7,昇暘工業有限公司,勞基法第70條第1項,僱用30人以上未報備工作規則,府勞動字第1030064661號,103年3月19日
