項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期,
1,道周醫療社團法人道周醫院,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030107242號,103年4月14日,
2,員生醫院,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030113170號,103年4月16日,
3,大立紡織股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030115393號,103年4月16日,
3,大立紡織股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030115393號,103年4月16日,
3,大立紡織股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1030115393號,103年4月16日,
4,翔宇貿易有限公司,勞基法第22條第2項,未依規定工資應全額直接給付勞工。,府勞動字第1030111900號,103年4月17日,
4,翔宇貿易有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030111900號,103年4月17日,
5,匯聯汽車股份有限公司,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030113751號,103年4月17日,
5,匯聯汽車股份有限公司,勞基法第32條第2項,延長工作時間超過法令規定。,府勞動字第1030113751號,103年4月17日,
5,匯聯汽車股份有限公司,勞基法第36條,未依規定每七日中未有一日之休息作為例假。,府勞動字第1030113751號,103年4月17日,
6,金意興企業有限公司,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030117091號,103年4月18日,
7,員林何醫院,勞基法第24條,延長工作時間未依規定加給工資。,府勞動字第1030121292號,103年4月18日,
8,三越紡織工業股份有限公司,勞基法第21條第1項,低於基本工資。,府勞動字第1030122419號,103年4月25日,
9,私立宏名數學英文短期補習班,勞基法第39條,假日工資未給或於休假日工作未依規定加給工資。,府勞動字第1030126175號,103年4月29日,
