事業單位名稱,違反法令條款,違反法規內容,文號,處分日期
太子汽車工業股份有限公司,勞基法第22條第2項、第22條第2項,1.工資未全額給付 2.工資未定期給付,府社資字第1001608238號,100年8月08日
勤億蛋品科技股份有限公司,勞基法第24條、第32條第2項前段、第32條第2項後段,1.延長工作時間未依規定加給工資 2.延長工作時間連同正常工作時間1日超過12小時 3.延長工作時間1個月超過46小時,府社資字第1015001787號,101年1月16日
勤億蛋品科技股份有限公司,勞基法第21條第1項、第24條、第32條第2項前段、第32條第2項後段、第36條,1.延長工作時間未依規定加給工資 2.延長工作時間連同正常工作時間1日超過12小時 3.延長工作時間1個月超過46小時 4.每7日中未有1日之休息作為例假,府社資字第1015015048號,101年4月11日
嘉義市私立博仁老人養護中心,勞基法第36條,每7日中未有1日之休息作為例假,府社資字第1015016742號,101年4月18日
嘉義市私立宏仁老人養護中心,勞基法第36條,每7日中未有1日之休息作為例假,府社資字第1015021885號,101年5月21日
嘉義市私立國泰老人長期照護中心,勞基法第36條,每7日中未有1日之休息作為例假,府社資字第1015022990號,101年5月28日
戴德森醫療財團法人,勞基法第30條第5項,未依規定置備出勤記錄,府社資字第1015026353號,101年6月18日
行政院衛生署嘉義醫院,第30條第5項（同法施行細則第21條）,未依規定逐日記載勞工出勤情形,府社資字第1015319761號,101年8月16日
勤億蛋品科技股份有限公司,勞基法第22條第2項、第32條第2項前段、第32條第2項後段、第36條,1.工資未全額給付 2.延長工作時間連同正常工作時間1日超過12小時 3.延長工作時間1個月超過46小時 4.每7日中未有1日之休息作為例假,府社資字第1011611752號,101年10月15日
行政院衛生署嘉義醫院,勞基法第30條第5項（同法施行細則第21條）、第32條第2項前段,1.未依規定逐日記載勞工出勤情形 2.延長工作時間連同正常工作時間1日超過12小時,府社資字第1015325641號,101年10月17日
伯勝國際企業有限公司,勞基法第30條第5項,未依規定置備出勤記錄,府社資字第1015049734號,101年10月30日
戴德森醫療財團法人,勞基法第24條,未依法給付延長工作時間工資,府社資字第1015052188號,101年11月15日
行政院衛生署嘉義醫院,勞基法第24條、第32條第2項前段、第49條第1項,1.未依法給付延長工作時間工資 2.延長工作時間連同正常工作時間1日超過12小時 3.未經勞資會議同意而使女性勞工於午後10時至翌晨6時之時間內工作,府社資字第1015331666號,101年12月19日
戴德森醫療財團法人,勞基法第32條第2項前段,延長工作時間連同正常工作時間1日超過12小時,府社資字第1015058476號,101年12月20日
日通欣運股份有限公司,勞基法第22條第2項、第27條、第80條,1.工資未全額給付 2.未依期限給付工資 3.拒絕接受勞動檢查,府社資字第1021600465號,102年1月9日
