項次,事業單位名稱,處分日期,文號,違反法令條款,違反法規內容
2,萬安保全股份有限公司,100年10月4日,府社資字第1005043025號,第24條,延長工作時間未依規定加給工資。
2,萬安保全股份有限公司,100年10月4日,府社資字第1005043025號,第30條第1項後段,2週正常工作總時數超過84小時。
2,萬安保全股份有限公司,102年9月23日,府社資字第1021612928號,第37條,未使勞工於紀念日、勞動節日及其他中央主管機關規定應放假日休假。
2,萬安保全股份有限公司,102年9月23日,府社資字第1021612928號,第38條,未給予繼續工作一定期間之勞工特別休假。
3,六八九企業社,101年1月11日,府社資字第1011600565號,第23條第2項,未依規定置備工資清冊。
3,六八九企業社,101年1月11日,府社資字第1011600565號,第30條第5項,未依規定置備出勤記錄。
4,勤億蛋品科技股份有限公司,101年1月16日,府社資字第10216089581號,第32條第2項前段,延長工作時間連同正常工作時間1日超過12小時。
4,勤億蛋品科技股份有限公司,101年1月16日,府社資字第10216089581號,第32條第2項後段,延長工作時間1個月超過46小時。
6,吳秀玲（即亞緹馜時尚美妍館）,101年4月24日,府社資字第1011604900號,第21條第1項,未達基本工資。
6,吳秀玲（即亞緹馜時尚美妍館）,101年4月24日,府社資字第1011604900號,第23條第2項,未依規定置備工資清冊。
6,吳秀玲（即亞緹馜時尚美妍館）,101年4月24日,府社資字第1011604900號,第30條第5項,未依規定置備出勤記錄。
9,宏興洗衣有限公司,101年6月6日,府社資字第1011606382號,第39條,假日出勤工資未加倍給付
9,宏興洗衣有限公司,101年12月24日,府社資字第1011614704號,第21條第1項,未達基本工資。
9,宏興洗衣有限公司,101年12月24日,府社資字第1011614704號,第23條第2項,未依規定置備工資清冊。
9,宏興洗衣有限公司,101年12月24日,府社資字第1011614704號,第24條,未依法給付延長工作時間工資
9,宏興洗衣有限公司,101年12月24日,府社資字第1011614704號,第30條第5項,未依規定置備出勤記錄。
9,宏興洗衣有限公司,101年12月24日,府社資字第1011614704號,第32條第2項前段,延長工作時間連同正常工作時間1日超過12小時。
9,宏興洗衣有限公司,102年4月19日,府社資字第1025017834號,第36條,每7日中未有1日之休息作為例假。
10,鷹陽公寓大廈管理維護股份有限公司,101年6月12日,府社資字第1011612711號,第24條,未依法給付延長工作時間工資
10,鷹陽公寓大廈管理維護股份有限公司,101年6月12日,府社資字第1011612711號,第32條第2項後段,延長工作時間1個月超過46小時。
10,鷹陽公寓大廈管理維護股份有限公司,101年6月12日,府社資字第1011612711號,第39條,假日出勤工資未加倍給付
12,八角八茶飲,101年8月15日,府社資字第1011609361號,第21條第1項,未達基本工資。
12,八角八茶飲,101年8月15日,府社資字第1011609361號,第23條第2項,未依規定置備工資清冊。
12,八角八茶飲,101年10月24日,府社資字第1011611817號,第24條,未依法給付延長工作時間工資
12,八角八茶飲,101年10月24日,府社資字第1011611817號,第32條第2項前段,延長工作時間連同正常工作時間1日超過12小時。
12,八角八茶飲,101年10月24日,府社資字第1011611817號,第32條第2項後段,延長工作時間1個月超過46小時。
12,八角八茶飲,101年10月24日,府社資字第1011611817號,第36條,每7日中未有1日之休息作為例假。
13,衛生福利部嘉義醫院,102年6月19日,府社資字第1025027357號,第24條,未依法給付延長工作時間工資。
13,衛生福利部嘉義醫院,102年6月19日,府社資字第1025027357號,第39條,假日出勤工資未加倍給付。
14,芥菜種藝文餐廳,101年8月23日,府社資字第1015038106號,第36條,每7日中未有1日之休息作為例假。
15,邱俊閎（即派克雞排仁愛店）,101年8月27日,府社資字第1011609749號,第21條第1項,未達基本工資。
17,數位房訊開發有限公司,101年11月15日,府社資字第1011612711號,第36條,每7日中未有1日之休息作為例假。
18,六條通日式小吃店,101年11月22日,府社資字第1011613435號,第23條第2項,未依規定置備工資清冊。
18,六條通日式小吃店,101年11月22日,府社資字第1011613435號,第30條第5項,未依規定置備出勤記錄。
19,嘉賀保全股份有限公司,101年12月4日,府社資字第1011613797號,第23條第2項,未依規定置備工資清冊。
26,全州店,102年6月4日,府社資字第1021607303號,第23條第2項,未依規定置備工資清冊。
26,全州店,102年6月4日,府社資字第1021607303號,第30條5項,未依規定置備出勤記錄。
27,美萬新企業股份有限公司,102年10月1日,府社資字第1021613337號,第27條,未依主管機關期限給付工資。
