項次,事業單位/事業主,違反法令條款,違反法規內容,處分書文號,處分日期,備註
1,木通實業股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定,府勞條字第1010662690號,101年8月10日,重複違反同一法條
1,木通實業股份有限公司,勞動基準法第30條第1項,正常工作時間超過法令規定,府勞條字第1020404671號,102年5月8日,重複違反同一法條
1,木通實業股份有限公司,勞動基準法第36條,每7日中未有1日之休息作為例假,府勞條字第1010662690號,101年8月10日,重複違反同一法條
1,木通實業股份有限公司,勞動基準法第36條,每7日中未有1日之休息作為例假,府勞條字第1020404671號,102年5月8日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010595792號,101年7月18日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010691218號,101年8月23日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010791783號,101年9月26日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010842518號,101年10月11日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第10101081614號,101年12月24日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1020177165號,102年3月8日,重複違反同一法條
2,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1020407599號,102年5月14日,重複違反同一法條
3,泰慶皮革塑膠工業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1020054205號,102年1月17日,重複違反同一法條
3,泰慶皮革塑膠工業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1020404710號,102年5月10日,重複違反同一法條
3,泰慶皮革塑膠工業股份有限公司,勞動基準法第36條,每7日中未有1日之休息作為例假,府勞條字第1020054205號,102年1月17日,重複違反同一法條
3,泰慶皮革塑膠工業股份有限公司,勞動基準法第36條,每7日中未有1日之休息作為例假,府勞條字第1020404710號,102年5月10日,重複違反同一法條
4,郁得實業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,府勞條字第1010725243號,101年10月1日,重複違反同一法條
4,郁得實業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資,府勞條字第1020342647號,102年4月22日,重複違反同一法條
4,郁得實業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1010725243號,101年10月1日,重複違反同一法條
4,郁得實業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,府勞條字第1020342647號,102年4月22日,重複違反同一法條
