事業單位,違反條款,違反法規內容,處分字號,處分日期
紅景天養生御品股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工,高市府勞條字第10137737900號,101/10/24
辰堉科技澱粉有限公司,勞動基準法第24條、第32條第2項、第36條、第38條、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.未依規定給予特別休假 5.假日工資未給或於休假日工作未依規定加給工資,高市府勞條字第10137506300號,101/11/02
全泰公寓大廈管理維護有限公司,勞動基準法第21條第1項、第24條、第30條第5項、第32條第2項,1.未達基本工資 2.延長工作時間未依規定加給工資 3.未依規定置備勞工出勤紀錄表 4.延長工作時間超過法令規定,高市府勞條字第10135970900號,101/09/18
東昇營造工程有限公司,勞動基準法第24條、第32條第2項、第36條、第59條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.每七日中未有一日之休息作為例假 4.未依規定給予勞工職業災害補償,高市府勞條字第10137427900號,101/10/15
鐵祥企業有限公司,勞動基準法第24條、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,高市府勞條字第10137986200號,101/11/01
方師傅食品有限公司,勞動基準法第23條第2項、第30條第5項、第36條,1.未依規定置備勞工工資清冊 2.未依規定置備勞工出勤紀錄表 3.每七日中未有一日之休息作為例假,高市府勞條字第10137780300號,101/11/12
明皇順發有限公司,勞動基準法第7條、第22條第2項、第23條第2項、第30條第5項,1.未依規定置備勞工名卡 2.工資未全額直接給付勞工 3.未依規定置備勞工工資清冊 4.未依規定置備勞工出勤紀錄表,高市府勞條字第10138171900號,101/11/30
高雄市私立新東海老人養護中心,勞動基準法第24條、第39條,1.延長工作時間未依規定加給工資 2.假日工資未給或於休假日工作未依規定加給工資,高市府勞條字第10136633700號,101/09/14
高雄市私立日光花園老人長期照顧中心,勞動基準法第24條、第32條第2項、第39條,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定 3.假日工資未給或於休假日工作未依規定加給工資,高市府勞條字第10136870400號,101/09/18
高雄市私立健康老人長期照顧中心,勞動基準法第23條第2項、第30條第5項,1.未依規定置備勞工工資清冊 2.未依規定置備勞工出勤紀錄表,高市府勞條字第10137038900號,101/10/08
豐譽工程有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135582300號,101/08/03
金至工程有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135713000號,101/08/09
禮頓企業有限公司,勞動基準法第9條第1項、第21條第1項,1.違反規定訂定定期契約 2.未達基本工資,高市府勞條字第10135719400號、高市府勞條字第10137260000號,101/08/13、101/10/19
鼎鋐發有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135719200號,101/08/13
采朋企業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135719500號,101/08/13
華新物業管理顧問有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135718900號,101/08/13
王美惠即義大企業行,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135781200號,101/08/10
和美環保有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10135199800號,101/08/23
欣榮管理顧問有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10137983700號,101/11/19
喜美企業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10139336600號,101/12/20
曾映捷即靜順企業行,勞動基準法第36條,每七日中未有一日之休息作為例假,高市府勞條字第10136062400號,101/09/05
達尹企業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10136247200號,101/09/11
正丞企業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10136465300號,101/09/26
德運人力資源有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10136902100號,101/09/28
中元人力資源有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10136902200號,101/10/05
韋得企業有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10137024400號,101/10/12
高雄市派遣服務人員職業工會,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市府勞條字第10137018100號,101/10/15
蔡雅婷即傳聖企業行,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10137205400號,101/10/17
康傑國際人力資源管理顧問有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10137903300號,101/10/22
中鋼企管顧問股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10136980000號,101/10/22
福鴻人力仲介股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,高市府勞條字第10137564700號,101/10/31
錕富實業有限公司,勞動基準法第34條第2項,晝夜輪班制更換工作班次未依規定給予休息,高市府勞條字第10137213100號,101/11/02
存義企業有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資,高市府勞條字第10138001800號,101/11/12
謝晶盈即晶釗企業行,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表,高市府勞條字第10138335400號,101/12/12
鴻海人力資源管理顧問有限公司,勞動基準法第9條第1項,違反規定訂定定期契約,高市府勞條字第10139336200號,101/12/20
毅夫文教事業股份有限公司,勞動基準法第24條、第32條第2項,1.延長工作時間未依規定加給工資 2.延長工作時間超過法令規定,高市府勞條字第10139342500號,101/12/22
