項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,和春環保有限公司,勞動基準法第21條第1項,未達基本工資。,高市府勞條字第10139253300號,102/01/07
1,和春環保有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市府勞條字第10139253300號,102/01/07
1,和春環保有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10139253300號,102/01/07
1,和春環保有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10139253300號,102/01/07
2,簡仲徽即高雄市私立華爾街語文短期補習班,勞動基準法第16條,未依規定期間預告。,高市府勞條字第10139228300號,102/01/03
2,簡仲徽即高雄市私立華爾街語文短期補習班,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市府勞條字第10139228300號,102/01/03
3,統一速達股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市府勞條字第10231016600號,102/02/21
3,統一速達股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定,高市府勞條字第10231016600號,102/02/21。
3,統一速達股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假,高市府勞條字第10231016600號,102/02/21。
4,郭爐山企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231170800號,102/03/29
4,郭爐山企業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10231170800號,102/03/29
4,郭爐山企業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10231170800號,102/03/29
4,郭爐山企業股份有限公司,勞動基準法第70條,工作規則未依規定報備並公開揭示,高市府勞條字第10231170800號,102/03/29
5,齊家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10231405000號,102/03/22
5,齊家保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市府勞條字第10231405000號,102/03/22
5,齊家保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10230245300號,102/02/01
6,光隆瀝青股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市府勞條字第10230252700號,102/01/23
6,光隆瀝青股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市府勞條字第10230252700號,102/01/23
6,光隆瀝青股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市府勞條字第10230252700號,102/01/23
7,黃怡禎即富鑫工程行,勞動基準法第21條第1項,未達基本工資。,高市府勞條字第10230162100號,102/01/23
