項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,罰鍰日期
1,越峰工程有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10234559600號,102/07/31
1,越峰工程有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10234559600號,102/07/31
1,越峰工程有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10234559600號,102/07/31
1,越峰工程有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10234559600號,102/07/31
2,豐鋁興業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10234594700號,102/08/02
2,豐鋁興業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10234594700號,102/08/02
2,豐鋁興業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10234594700號,102/08/02
3,雄信運輸有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10234118900號,102/07/11
3,雄信運輸有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10234118900號,102/07/11
3,雄信運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10234118900號,102/07/11
3,雄信運輸有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10234118900號,102/07/11
4,周義博即順風中醫診所,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10234496400號,102/07/23
4,周義博即順風中醫診所,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10234496400號,102/07/23
4,周義博即順風中醫診所,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10234496400號,102/07/23
4,周義博即順風中醫診所,勞動基準法第43條,請假期間未依規定給付工資,高市勞條字第10234496400號,102/07/23
5,國光汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235672100號,102/08/26
6,欣中環保企業股份有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10235778000號,102/09/06
6,欣中環保企業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10235778000號,102/09/06
6,欣中環保企業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10235778000號,102/09/06
7,大正保全股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10236140000號,102/09/12
7,大正保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236140000號,102/09/12
7,大正保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236140000號,102/09/12
8,誠毅紙器股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236091400號,102/09/18
