項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,南區海口味海產店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236287500號,102/09/23
2,汪敬恒即三皇三家平價咖啡店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236163200號,102/09/11
3,李玉俠即頂加商行,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236117900號,102/09/18
4,摩根商行,勞動基準法第30條第5項,未逐日記載勞工出勤情形。,高市勞條字第10236117800號,102/09/18
5,何鴻鑫即禪茶ㄧ味茶行,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10236185000號,102/09/14
6,蔡正泰即檸檬香茅小吃店,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10236093200號,102/09/25
7,珍席壽司專賣店,勞動基準法第30條第5項,未逐日記載勞工出勤情形。,高市勞條字第10236184400號,102/09/23
8,宥宥國際有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236071300號,102/09/17
9,大宇餐飲有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10236542100號,102/09/30
10,東王大戲院股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236190400號,102/09/17
