項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,勝威保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10235776800號,102/09/03
1,勝威保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235776800號,102/09/03
2,鑫龍保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10235858200號,102/09/11
2,鑫龍保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235858200號,102/09/11
3,大軍保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236139700號,102/09/17
3,大軍保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236139700號,102/09/17
4,鉅翼保全股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10235427200號,102/08/22
5,磐石保全股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10235671000號,102/08/23
6,信齊保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10235777900號,102/09/06
7,遠東保全股份有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10235768300號,102/09/09
8,全鋒保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235972700號,102/09/10
9,龍衛保全股份有限公司　,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235749300號,102/09/11
10,王府保全股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236091300號,102/09/13
11,常安保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10235931800號,102/09/17
12,亞米加保全股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10236375900號,102/09/30
12,亞米加保全股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236375900號,102/09/30
