項次,事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
1,雄信運輸有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10234118900號,102/07/11
1,雄信運輸有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10234118900號,102/07/11
1,雄信運輸有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10234118900號,102/07/11
1,雄信運輸有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10234118900號,102/07/11
2,楊家通運股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10234013900號,102/07/02
2,楊家通運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10234013900號,102/07/02
2,楊家通運股份有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10234013900號,102/07/02
3,誼林交通事業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10234140200號,102/07/18
3,誼林交通事業股份有限公司,勞動基準法第70條,工作規則未依規定報備並公告揭示。,高市勞條字第10234140200號,102/07/18
4,啟盛交通股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10234131200號,102/07/23
4,啟盛交通股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10234131200號,102/07/23
5,欣德路通運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10235619900號,102/08/21
5,欣德路通運股份有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10235619900號,102/08/21
6,德信通運股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10233951100號,102/07/03
7,翊驊交通股份有限公司,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10235140900號,102/08/28
8,利達貨櫃運輸股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10236073200號,102/09/11
9,駿明交通運輸股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10234887100號,102/07/25
