項次,事業單位名稱(負責人姓名),違反法令條款,違反法規內容,處分文號,罰鍰日期
1,林萬水即年成企業行,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10236948500號,102/11/08
1,林萬水即年成企業行,勞動基準法第59條,未依規定給予勞工職業災害補償。,高市勞條字第10236948500號,102/11/08
2,印水涵有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236484700號,102/11/13
2,印水涵有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236484700號,102/11/13
2,印水涵有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236484700號,102/11/13
2,印水涵有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10236484700號,102/11/13
3,旺錡科技股份有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10237373200號,102/11/29
3,旺錡科技股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237373200號,102/11/29
3,旺錡科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237373200號,102/11/29
3,旺錡科技股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10237373200號,102/11/29
4,旗勝科技股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237430600號,102/11/08
5,元海鄉實業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238222600號,102/12/25
5,元海鄉實業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238222600號,102/12/25
6,永通股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10237799400號,102/12/16
6,永通股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10237799400號,102/12/16
6,永通股份有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10237799400號,102/12/16
7,佑螢股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237630100號,102/12/10
7,佑螢股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237630100號,102/12/10
8,亞瑟環境清潔股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10237033900號,102/11/01
8,亞瑟環境清潔股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237033900號,102/11/01
8,亞瑟環境清潔股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10237033900號,102/11/01
9,金泳企業有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10237293900號,102/11/13
9,金泳企業有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10237293900號,102/11/13
9,金泳企業有限公司,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10237293900號,102/11/13
10,國立中山大學,勞動基準法第9條第1項,違反規定訂定定期契約。,高市勞條字第10238084600號,102/12/11
10,國立中山大學,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238084600號,102/12/11
10,國立中山大學,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238084600號,102/12/11
11,張貽善即眾信企業社,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10236677800號,102/10/16
11,張貽善即眾信企業社,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236677800號,102/10/16
11,張貽善即眾信企業社,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236677800號,102/10/16
12,嘉豐海洋國際股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237491700號,102/11/28
12,嘉豐海洋國際股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10237491700號,102/11/28
13,謝明宏即寶珠檳榔攤,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10236629000號,102/10/16
13,謝明宏即寶珠檳榔攤,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10236629000號,102/10/16
13,謝明宏即寶珠檳榔攤,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10236629000號,102/10/16
14,高雄汽車客運股份有限公司,勞動基準法第36條　,每七日中未有一日之休息作為例假。,高市勞條字第10236461400號,102/10/03
14,高雄汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237190300號,102/11/04
14,高雄汽車客運股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238572900號,102/12/25
15,大孟實業有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10238076400號,102/12/16
15,大孟實業有限公司,勞動基準法第36條　,每七日中未有一日之休息作為例假。,高市勞條字第10238076400號,102/12/16
16,大順製油股份有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10237935500號,102/11/26
16,大順製油股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237935500號,102/11/26
17,小麥町租賃股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10238380800號,102/12/24
17,小麥町租賃股份有限公司,勞動基準法第37條,依規定應放假之日未予休假。,高市勞條字第10238380800號,102/12/24
18,王琇琪即益欣理貨行,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10237415500號,102/11/13
18,王琇琪即益欣理貨行,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237415500號,102/11/13
19,台灣中油股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238115900號,102/12/19
19,台灣中油股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10238115900號,102/12/19
20,台灣宅配通股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236596500號,102/10/22
20,台灣宅配通股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10236596500號,102/10/22
21,台灣國際天屋有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237949000號,102/11/29
21,台灣國際天屋有限公司,勞動基準法第36條　,每七日中未有一日之休息作為例假。,高市勞條字第10237949000號,102/11/29
22,立宏機械有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10237404500號,102/11/18
22,立宏機械有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237404500號,102/11/18
23,朱明勝即鐵板鑫小吃店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236522900號,102/10/16
23,朱明勝即鐵板鑫小吃店,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10236522900號,102/10/16
24,享龍國際貿易有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10236628700號,102/10/15
24,享龍國際貿易有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10236628700號,102/10/15
25,佳電國際有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10237151300號,102/11/04
25,佳電國際有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237151300號,102/11/04
26,英屬百慕達商友邦人壽保險股份有限公司台灣分公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10236633400號,102/10/22
27,高雄縣私立優優文理短期補習班,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237207600號,102/11/08
27,高雄縣私立優優文理短期補習班,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10237207600號,102/11/08
28,祥福環保工程實業有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10237102700號,102/11/07
28,祥福環保工程實業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10237102700號,102/11/07
29,華昌泰實業有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10236202000號,102/10/14
29,華昌泰實業有限公司,勞動基準法第36條　,每七日中未有一日之休息作為例假。,高市勞條字第10236202000號,102/10/14
30,賀勁企業有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10237404400號,102/11/22
30,賀勁企業有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10237404400號,102/11/22
31,遠東百貨股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238101400號,102/12/19
31,遠東百貨股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238101400號,102/12/19
32,鍾姍容即大盤商檳榔總店旗山店,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10238128100號,102/12/17
32,鍾姍容即大盤商檳榔總店旗山店,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10238128100號,102/12/17
