事業單位名稱,違反法令條款,違反法規內容,罰鍰文號,罰鍰日期
松鶴國際實木有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10238401200號,103/01/09
松鶴國際實木有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10238401200號,103/01/09
松鶴國際實木有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238401200號,103/01/09
明安國際企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238228100號,103/01/03
明安國際企業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238228100號,103/01/03
龍慶鋼鐵股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238189800號,103/01/03
龍慶鋼鐵股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10238189800號,103/01/03
榮族有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10238272500號,103/01/03
榮族有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238272500號,103/01/03
成泰裝卸股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10330024000號,103/01/14
成泰裝卸股份有限公司,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10330024000號,103/01/14
中國人壽保險股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238280700號,103/01/15
中國人壽保險股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10238280700號,103/01/15
許繼鴻即協發製麵加工部,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10330128700號,103/01/15
許繼鴻即協發製麵加工部,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10330128700號,103/01/15
李佩珍即珈蒂諾食品行,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10238697500號,103/01/15
李佩珍即珈蒂諾食品行,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10238697500號,103/01/15
興宜雷射精機股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10330020500號,103/01/20
興宜雷射精機股份有限公司,勞動基準法第70條第1項,工作規則未依規定報備並公告揭示。,高市勞條字第10330020500號,103/01/20
欣峰製衣股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10238709500號,103/01/24
欣峰製衣股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10238709500號,103/01/24
張楊綉玲即天祥商號,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10330213900號,103/01/24
張楊綉玲即天祥商號,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10330213900號,103/01/24
林志丞即瀚客鴻燈飾量販店,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10330123500號,103/01/29
林志丞即瀚客鴻燈飾量販店,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10330123500號,103/01/29
桐寶股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10330410900號,103/02/14
桐寶股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10330410900號,103/02/14
張愷唐即牛棚牛排館,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10330937400號,103/02/20
張愷唐即牛棚牛排館,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10330937400號,103/02/20
玖鏵公寓大廈管理維護有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10330597300號,103/02/26
玖鏵公寓大廈管理維護有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10330597300號,103/02/26
