項次,事業單位名稱,違反法令條款,違反法規內容,罰鍰文號,罰鍰日期
1,鉅臣企業股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10331589000號,103/03/24
1,鉅臣企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10331589000號,103/03/24
1,鉅臣企業股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10331589000號,103/03/24
1,鉅臣企業股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10331589000號,103/03/24
2,華保運輸股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10330797600號,103/03/13
2,華保運輸股份有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10330797600號,103/03/13
2,華保運輸股份有限公司,勞動基準法第38條,未依規定給予特別休假。,高市勞條字第10330797600號,103/03/13
2,華保運輸股份有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10330797600號,103/03/13
3,光健泰樂有限公司,勞動基準法第21條第1項,未達基本工資。,高市勞條字第10331950400號,103/04/09
3,光健泰樂有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10331950400號,103/04/09
3,光健泰樂有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10331950400號,103/04/09
3,光健泰樂有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10331950400號,103/04/09
4,高屏預拌混凝土有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10331529700號,103/03/24
4,高屏預拌混凝土有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10331529700號,103/03/24
4,高屏預拌混凝土有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10331529700號,103/03/24
5,英屬百慕達商友邦人壽保險股份有限公司台灣分公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10331720400號,103/04/18
6,新光三越百貨股份有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10332103500號,103/04/16
6,新光三越百貨股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10332103500號,103/04/16
7,新世紀環宇開發有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10238564500號,103/01/14
7,新世紀環宇開發有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10238564500號,103/01/14
8,世界通數位資訊有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10330593200號,103/02/26
9,得譯五金工具有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10330942700號,103/03/03
9,得譯五金工具有限公司,勞動基準法第39條,假日工資未給或於休假日工作未依規定加給工資。,高市勞條字第10330942700號,103/03/03
10,阿羅哈客運股份有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10331223300號,103/03/21
10,阿羅哈客運股份有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10331223300號,103/03/21
11,春鑫食品有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10331283100號,103/03/24
11,春鑫食品有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10331283100號,103/03/24
12,明安國際企業股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10331282700號,103/03/27
13,統一武藏野股份有限公司,勞動基準法第32條第2項,延長工作時間超過法令規定。,高市勞條字第10331242200號,103/03/31
14,新成龍企業有限公司,勞動基準法第22條第2項,工資未全額直接給付勞工。,高市勞條字第10331507700號,103/04/03
14,新成龍企業有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10331507700號,103/04/03
15,錢潮食品有限公司,勞動基準法第24條,延長工作時間未依規定加給工資。,高市勞條字第10331507600號,103/04/09
15,錢潮食品有限公司,勞動基準法第36條,每七日中未有一日之休息作為例假。,高市勞條字第10331507600號,103/04/09
16,福味珍食品有限公司,勞動基準法第23條第2項,未依規定置備勞工工資清冊。,高市勞條字第10331879800號,103/04/24
16,福味珍食品有限公司,勞動基準法第30條第5項,未依規定置備勞工出勤紀錄表。,高市勞條字第10331879800號,103/04/24
