事業單位名稱,違反法令條款,違反法規內容,處分書文號,處分日期
嘉里大榮物流股份有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1010237627號函,101年12月7日
初鹿加油站股份有限公司,勞基法第21條第1項、第30條第1項,未達基本工資、每2週工作時數超過84小時,府社勞字第1010237021號函,101年12月21日
李孟翰即大聯盟五金百貨行,勞基法第30條第5項、第39條,未依規定置備勞工出勤紀錄表、假日工資未依規定加倍給予,府社勞字第1020002598號函,102年1月18日
力澂工程企業有限公司,勞基法第50條第2項,產假期間工資未給,府社勞字第1020018811號函,102年1月31日
心生活有限公司,勞基法第36條、第39條,每7日中未有1日作為例假、假日工資未依規定加倍給予,府社勞字第1020019262號函,102年1月31日
吳銘勝即銘陽人力資源企業社,勞基法第9條,有繼續性工作簽訂定期契約,府社勞字第1020018848號函,102年2月6日
寶島光學科技股份有限公司,勞基法第24條、第30條第1項、36條,延長工作時間未依規定加給工資、每2週工作時數超過84小時、每7日中未有1日作為例假,府社勞字第1020019410號函,102年2月6日
有豪企業有限公司,勞基法第24條、36條,延長工作時間未依規定加給工資、每7日中未有1日作為例假,府社勞字第1020020638號函,102年2月6日
鵬燁實業有限公司,勞資爭議處理法第63條第3項,無正當理由出席調解會議,府社勞字第1020021757號函,102年2月6日
娜路彎大酒店股份有限公司,勞基法第39條,假日工資未依規定加倍給予,府社勞字第1020026482號函,102年2月22日
蔡書賢即宏崎商行,勞基法第24條,延長工作時間未依規定加給工資,府社勞字第1020029342號函,102年2月22日
萬化企業有限公司,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1020031368號函,102年2月26日
李碧雲即偉勝打字印刷廠,勞基法第30條第5項,未依規定置備勞工出勤紀錄表,府社勞字第1020041415號函,102年3月18日
