序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數
1,台灣積體電路製造股份有限公司,新竹市,D,303,116
2,友達光電股份有限公司,新竹市,D,192,83
3,聯華電子股份有限公司,新竹市,D,119,69
4,力晶科技股份有限公司,新竹市,D,43,34
5,南茂科技股份有限公司,新竹縣,D,46,28
6,力成科技股份有限公司,新竹縣,D,49,27
7,長榮航空股份有限公司,桃園縣,D,46,25
8,花旗（台灣）商業銀行股份有限公司,臺北市,D,50,20
9,仁寶電腦工業股份有限公司,桃園縣,D,50,18
10,三商美邦人壽保險股份有限公司,臺北市,D,59,17
11,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16
12,台灣高速鐵路股份有限公司,臺北市,D,32,16
13,遠東國際商業銀行股份有限公司,臺北市,D,25,15
14,華邦電子股份有限公司,臺中市,D,20,14
15,華碩電腦股份有限公司,臺北市,D,40,14
16,台塑石化股份有限公司,雲林縣,D,48,14
17,長榮航太科技股份有限公司,桃園縣,D,21,14
18,藝珂人事顧問股份有限公司,臺北市,D,28,13
19,瀚宇彩晶股份有限公司,臺北市,D,26,13
20,渣打國際商業銀行股份有限公司,新竹市,D,39,12
21,元大商業銀行股份有限公司,臺北市,D,26,12
22,中龍鋼鐵股份有限公司,臺中市,D,29,12
23,勤業眾信聯合會計師事務所（黃樹傑會計師）,臺北市,D,32,12
24,台灣麥當勞餐廳股份有限公司,臺北市,D,22,11
25,鉅晶電子股份有限公司,新竹市,D,14,10
26,隆達電子股份有限公司,新竹市,D,21,10
27,三商行股份有限公司,臺北市,D,34,10
28,新加坡商星展銀行股份有限公司台北分行,臺北市,D,13,10
29,主富服裝股份有限公司,臺北市,D,14,10
30,臺灣新光商業銀行股份有限公司,臺北市,D,34,10
31,旭硝子顯示玻璃股份有限公司,雲林縣,D,17,9
32,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,9
33,玉山商業銀行股份有限公司,臺北市,D,20,9
34,台灣大哥大股份有限公司,臺北市,D,26,9
35,新竹物流股份有限公司,新竹縣,D,29,8
36,和碩聯合科技股份有限公司,臺北市,D,49,8
37,上海商業儲蓄銀行股份有限公司,臺北市,D,23,8
38,東方美企業股份有限公司,高雄市,D,10,8
39,研華股份有限公司,臺北市,D,20,8
40,華資粧業股份有限公司,新北市,D,17,8
41,長榮海運股份有限公司,臺北市,D,12,7
42,中華映管股份有限公司龍潭廠,桃園縣,D,37,7
43,台灣電氣硝子股份有限公司,臺中市,D,8,7
44,南亞電路板股份有限公司樹林廠,新北市,D,13,7
45,微星科技股份有限公司,新北市,D,20,7
46,香港商捷時海外貿易有限公司台灣分公司,臺北市,D,12,7
47,遠雄人壽保險事業股份有限公司,臺北市,D,14,7
48,香港商蘋果日報出版發展有限公司台灣分公司,臺北市,D,11,7
49,台灣玻璃工業股份有限公司新竹廠,新竹市,D,10,6
50,台灣應用材料股份有限公司,新竹縣,D,7,6
51,南亞科技股份有限公司錦興廠,桃園縣,D,17,6
52,南亞電路板股份有限公司錦興廠,桃園縣,D,59,6
53,奇美材料科技股份有限公司,臺南市,D,11,6
54,昱晶能源科技股份有限公司台北分公司,臺北市,D,8,6
55,永碩聯合國際股份有限公司,臺北市,D,11,6
56,聚成科技股份有限公司,新竹市,D,8,6
57,京城商業銀行股份有限公司,臺南市,D,10,6
58,英屬維京群島商漢登企業有限公司台灣分公司,臺北市,D,10,6
59,趨勢科技股份有限公司,臺北市,D,11,6
60,美商怡佳股份有限公司台灣分公司,臺北市,D,9,6
61,達鴻先進科技股份有限公司,新竹縣,D,10,6
62,璨圓光電股份有限公司,桃園縣,D,9,6
63,泰金寶電通股份有限公司,臺北市,D,9,6
64,三信商業銀行股份有限公司,臺中市,D,11,6
65,台灣華歌爾股份有限公司,桃園縣,D,24,5
66,台灣明尼蘇達礦業製造股份有限公司,臺北市,D,10,5
67,光寶科技股份有限公司,新北市,D,19,5
68,光磊科技股份有限公司,新竹市,D,13,5
69,明基材料股份有限公司,桃園縣,D,11,5
70,日月光半導體製造股份有限公司中壢分公司,桃園縣,D,38,5
71,昱晶能源科技股份有限公司,苗栗縣,D,8,5
72,台灣富士全錄股份有限公司,臺北市,D,9,5
73,華泰大飯店企業股份有限公司,臺北市,D,5,5
74,宏碁股份有限公司,臺北市,D,22,5
75,釆盟股份有限公司,臺北市,D,11,5
76,香港商法華香水化粧品有限公司台灣分公司,臺北市,D,5,5
77,英屬維京群島商銀鯨股份有限公司台灣分公司,臺北市,D,7,5
78,香港商瑞健股份有限公司台灣分公司,桃園縣,D,12,5
79,新加坡商安富利股份有限公司台灣分公司,臺北市,D,6,5
80,新加坡商立可人事顧問有限公司台灣分公司,臺北市,D,6,5
81,新世紀光電股份有限公司,臺南市,D,10,5
82,香港商雅虎資訊股份有限公司台灣分公司,臺北市,D,10,5
83,時代國際飯店股份有限公司,臺北市,D,9,5
84,台灣優衣庫有限公司,新北市,D,10,5
85,輝瑞大藥廠股份有限公司,新北市,D,4,4
86,潤泰全球股份有限公司,臺北市,D,12,4
87,黛安芬國際股份有限公司,新北市,D,13,4
88,新日興股份有限公司,新北市,D,9,4
89,敬鵬工業股份有限公司,桃園縣,D,37,4
90,致茂電子股份有限公司,桃園縣,D,12,4
91,矽統科技股份有限公司,新竹縣,D,6,4
92,定穎電子股份有限公司,桃園縣,D,10,4
93,台灣必成股份有限公司,嘉義縣,D,8,4
94,銀泰科技股份有限公司,臺中市,D,10,4
95,達航工業股份有限公司,臺中市,D,5,4
