序號,投保單位名稱,縣市別,機關性質,法定人數,不足人數,不足百分比
1,台灣積體電路製造股份有限公司,新竹市,D,331,48,14.5%
2,聯華電子股份有限公司,新竹市,D,123,32,26.0%
3,力晶科技股份有限公司,新竹市,D,42,32,76.2%
4,長榮航空股份有限公司,桃園縣,D,50,27,54.0%
5,南茂科技股份有限公司,新竹縣,D,45,23,51.1%
6,台灣麥當勞餐廳股份有限公司,臺北市,D,31,22,71.0%
7,力成科技股份有限公司,新竹縣,D,44,20,45.5%
8,隆達電子股份有限公司,新竹市,D,22,16,72.7%
9,渣打國際商業銀行股份有限公司,新竹市,D,41,16,39.0%
10,台灣康寧顯示玻璃股份有限公司,臺中市,D,28,16,57.1%
11,長榮航太科技股份有限公司,桃園縣,D,24,15,62.5%
12,三商行股份有限公司,臺北市,D,35,15,42.9%
13,台灣大哥大股份有限公司,臺北市,D,28,15,53.6%
14,元大商業銀行股份有限公司,臺北市,D,26,14,53.8%
15,勤業眾信聯合會計師事務所（陳清祥會計師）,臺北市,D,35,14,40.0%
16,友達光電股份有限公司,新竹市,D,205,13,6.3%
17,遠東國際商業銀行股份有限公司,臺北市,D,25,13,52.0%
18,華碩電腦股份有限公司,臺北市,D,45,12,26.7%
19,中龍鋼鐵股份有限公司,臺中市,D,29,12,41.4%
20,主富服裝股份有限公司,臺北市,D,16,11,68.8%
21,星展（台灣）商業銀行股份有限公司,臺北市,D,14,11,78.6%
22,臺灣新光商業銀行股份有限公司,臺北市,D,35,11,31.4%
23,華邦電子股份有限公司,臺中市,D,19,10,52.6%
24,南亞電路板股份有限公司錦興廠,桃園縣,D,62,10,16.1%
25,花旗（台灣）商業銀行股份有限公司,臺北市,D,47,10,21.3%
26,中華國際黃頁股份有限公司,臺北市,D,11,9,81.8%
27,中華航空股份有限公司,桃園縣,D,64,8,12.5%
28,和鑫光電股份有限公司,臺南市,D,30,8,26.7%
29,台灣電氣硝子股份有限公司,臺中市,D,8,8,100.0%
30,上海商業儲蓄銀行股份有限公司,臺北市,D,23,8,34.8%
31,東方美企業股份有限公司,高雄市,D,10,8,80.0%
32,新加坡商惠普全球科技股份有限公司台灣分公司,臺北市,D,11,8,72.7%
33,長榮海運股份有限公司,臺北市,D,12,7,58.3%
34,和碩聯合科技股份有限公司,臺北市,D,52,7,13.5%
35,聚成科技股份有限公司,新竹市,D,9,7,77.8%
36,華資粧業股份有限公司,新北市,D,17,7,41.2%
37,台灣屈臣氏個人用品商店股份有限公司,臺北市,D,47,7,14.9%
38,萬寶華企業管理顧問股份有限公司,臺北市,D,27,7,25.9%
