裁罰企業名稱,污染種類,污染地點,污染物,違反法條,裁罰/公告日期,資訊來源
龜山鄉金屬表面處理業芫強工業公司,水污染,南崁溪,繞流偷排藍色強酸廢水(pH值3.7),水污染防治法第18條(違規情節重大，直接命其停工及以最高罰鍰額度裁處),102-04-24,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8842
八德市雙銘工業公司,水污染,茄苳溪,酸性泡沫廢水(pH值5.4),水污染防治法第7條第1項,102-04-20,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8833
桃園市東隆興業公司,水污染,茄苳溪,酸性紫色廢水(pH值5.2),水污染防治法第28條,102-04-18,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8829
觀音工業區經建四路俊紡實業公司,空氣汙染,,未納入申請許可污染源設備，且後端未設置防制設備,空氣污染防制法第24條第2項,102-04-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8822
國建二路遠東新世紀觀音印染廠,空氣汙染,,未納入申請許可污染源設備，且後端未設置防制設備,空氣污染防制法第24條第2項,102-04-15,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8822
大園鄉元碩合成化學工業公司,水污染,雙溪口溪,強鹼性廢水(pH值10.1),水污染防治法第7條第1項,102-04-13,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8821
大園鄉力曜公司,水污染,埔心溪,油污及桃紅色廢水,水污染防治法第30條第1項及第14條第1項,102-04-10,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8813
幼獅擴大工業區永炬企業公司,水污染,東明溪楊梅段,強鹼性的污泥水,水污染防治法第7條第1項及第14條第1項,102-04-03,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8802
大園鄉台灣永光工業公司,水污染,雙溪口溪,紅色廢水,水污染防治法第18條,102-03-29,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8782
楊梅幼獅擴大工業區東匯公司,水污染,東明溪,強鹼廢水,水污染防治法第7條第1項,102-03-22,http://www.tyepb.gov.tw/tyepbnew/cht/index.php?code=list&flag=detail&ids=177&article_id=8762
